5085765
/m/0d20cl
/m/0d20cl
Constantin Stanislavski
1989-04-28
a 11
acting 3
action 1
actor 3
adaptation 1
addresses 1
afterwards 1
all 1
an 2
analysis 1
and 14
are 3
areas 1
argues 1
art 1
as 1
assumptions 1
at 2
attention 1
audience 1
autobiographical 1
begins 1
book 3
both 1
brooch 1
but 1
chair 1
class 1
coincide 1
communion 1
concentration 1
convincingly 1
craft 1
creative 1
creativeness 1
de 1
deals 1
describes 1
detail 1
diary 1
different 1
director 4
do 1
during 1
emotion 1
end 1
examples 1
excited 1
exercise 2
experience 1
explains 1
faith 1
fellow 2
few 1
fictional 1
first 4
for 2
forces 1
formation 1
formed 1
forms 1
friends 1
frla 1
from 2
go 1
great 1
has 1
have 2
he 3
his 6
imagination 2
in 5
including 1
individual 1
influenced 1
inner 2
interests 1
into 1
is 5
it 1
kostya 5
lacteur 1
leading 1
lesson 1
line 1
little 1
majority 1
many 2
mastering 1
means 1
meeting 1
memory 1
message 1
method 1
mind 1
mistakes 1
motive 1
muscles 1
named 1
natural 1
nervous 1
no 1
not 2
objectives 1
of 16
on 2
or 1
order 1
othello 1
particular 1
perform 1
performances 1
play 1
prepares 2
prospect 1
put 1
recall 1
relates 1
relaxation 1
role 1
scenes 2
screen 1
searching 1
see 1
sense 1
sitting 1
skills 1
stage 1
stanislavski 2
state 1
stimulating 1
student 1
students 3
subconscious 1
superobjective 1
surprised 1
system 3
systematic 1
taking 1
teacher 1
tells 2
textbook 1
that 5
the 25
theatre 1
theatrical 1
their 5
them 2
thereby 1
these 1
they 3
through 1
to 2
tortsov 2
training 1
transforms 1
truth 2
two 1
type 1
unbroken 1
units 1
waiting 1
way 1
we 1
when 2
with 5
year 1
ystem 1
