13864173
/m/03clltz
/m/03clltz
David Morrell
1984-05
{"/m/01jfsb": "Thriller", "/m/02n4kr": "Mystery", "/m/06wkf": "Spy fiction", "/m/02xlf": "Fiction"}
4th 1
a 5
adopted 3
age 1
agencies 1
agent 2
agents 1
and 8
another 1
are 3
assassins 3
back 1
be 1
became 1
being 1
book 1
brotherhood 2
brothers 1
by 1
chris 2
concentrated 1
conspiracy 1
days 1
determination 1
died 1
different 1
duel 1
during 1
each 1
elliot 1
erica 1
espionage 1
even 1
expected 1
father 2
find 1
fog 1
for 1
fraternity 1
from 2
have 2
his 2
house 1
in 3
interest 1
into 1
is 4
it 1
jew 1
killed 1
land 1
larger 1
later 2
league 1
loose 1
love 1
loyal 2
loyalty 1
married 1
member 2
mossad 1
national 1
nations 1
native 1
night 1
novels 1
of 10
on 1
one 1
organizations 1
orphans 1
other 1
out 1
part 1
put 1
ran 1
ranking 1
respective 1
revenge 1
safe 1
saul 2
security 2
sort 1
spanning 1
stone 1
story 2
tells 1
tender 1
test 1
than 1
that 2
the 14
their 4
them 1
they 1
this 1
to 4
top 1
trained 2
training 2
tries 1
trilogy 1
two 1
went 1
when 1
where 1
which 1
who 2
with 1
