31145552
/m/0gh82nt
/m/0gh82nt
Michael Hardcastle
1966
{"/m/0dwly": "Children's literature"}
a 2
adrienne 1
after 1
and 4
andy 3
approached 1
are 1
as 1
at 1
becomes 1
before 1
begin 1
begins 1
big 1
blair 1
blairs 1
bobbie 2
book 1
bristol 1
by 1
can 1
chairman 1
club 1
come 1
concentrate 1
conclusion 1
convinces 1
despite 1
difficulties 1
division 2
eighteenyear 1
england 1
ensure 1
eve 1
experiences 1
feels 1
finally 1
first 1
follows 1
for 1
forced 1
game 2
girlfriend 1
graydon 1
hand 1
has 1
he 2
herbert 1
him 1
himself 1
his 5
in 2
into 2
introduces 1
is 1
lift 1
local 2
match 1
matchfixers 2
matters 1
mixed 1
moved 1
novel 1
of 3
old 1
on 2
out 1
own 1
performances 1
play 1
playing 1
problems 1
progresses 1
promotion 1
recently 1
relationship 1
resolve 1
retired 1
retirement 1
retrieving 1
reunited 1
rovers 3
scorton 1
second 1
some 2
son 2
story 1
striker 1
struggle 1
table 1
tackles 1
take 1
team 2
the 12
their 1
to 9
town 1
try 1
trying 1
up 2
watching 1
well 1
who 3
whose 1
win 1
with 3
