2558186
/m/07my2t
/m/07my2t
Michael Dobbs
2003
{"/m/0hwxm": "Historical novel"}
10 1
138 1
a 2
about 1
adolf 1
after 1
against 1
agreement 1
ailing 1
aitken 1
alcoholic 1
almost 1
ambassador 1
an 1
and 5
appeasement 1
appointment 1
as 1
bbc 1
beaverbrook 1
british 2
burgess 1
by 2
chamberlain 2
chamberlains 1
churchill 6
cold 1
continues 1
court 1
created 1
day 1
declaring 1
despite 1
detests 1
dobbs 1
downing 1
ends 1
eye 1
fall 1
fellow 1
few 1
first 2
friend 1
from 1
george 1
good 1
government 1
guy 1
halifax 1
having 1
hero 1
his 1
historical 1
hitler 1
in 3
includes 1
infamy 1
insecure 1
is 1
james 1
joseph 1
journalist 1
kennedy 1
king 1
lashes 1
late 1
later 1
leadership 2
lord 2
machiavellian 1
many 1
max 1
minister 2
mogul 1
momentous 1
munich 1
never 1
newspaper 1
no 1
novel 1
novels 1
of 11
opprobrium 1
or 1
our 1
out 1
outcast 1
over 1
pacifist 1
parliamentarians 1
peace 1
periphery 1
personages 1
personally 1
persuade 1
political 1
politics 1
premiership 1
press 1
prime 2
public 2
pugnacity 1
reins 1
relegated 1
return 1
sequel 1
series 1
signing 1
st 1
starts 1
story 2
storyline 1
street 1
stuttering 1
support 1
surrender 1
take 1
the 25
thirties 1
time 1
to 5
tries 1
triumphant 1
us 1
vi 1
war 2
wartime 1
weeks 1
who 1
whose 1
winston 1
with 3
