4650467
/m/0cfh0f
/m/0cfh0f
Michael Lowenthal
2002-11-01
14yearold 1
28yearold 1
a 5
abuse 1
abused 1
actually 1
after 1
an 1
and 1
as 1
assistant 1
at 2
becomes 1
been 1
by 1
came 1
camp 3
childhood 1
close 1
committing 1
confides 1
crime 1
death 1
director 2
disturbed 1
family 1
father 1
found 1
has 1
he 5
him 1
himself 1
his 1
how 1
in 1
infatuated 1
is 1
jeremy 3
just 1
man 1
max 2
now 1
of 3
realises 1
same 1
sense 1
sexual 1
sexually 1
spent 1
summer 2
that 1
the 5
to 1
true 1
victim 1
when 1
where 2
with 1
working 1
works 1
