6385549
/m/0g3b3p
/m/0g3b3p
Jeff Gottesfeld

142 2
2001 2
a 17
aboard 1
about 3
absorbed 1
accepts 2
accompany 1
activity 1
affluent 1
after 3
afterwards 1
allow 1
allowed 1
along 1
altar 1
american 1
an 1
and 18
anne 4
antinazi 1
apartment 1
are 4
as 3
ascending 1
asks 1
assigned 2
at 4
attempts 1
auschwitz 1
back 3
bad 1
be 4
becomes 2
been 1
begins 1
begs 1
being 2
believes 1
belonged 1
bench 1
bernhardt 5
betrayed 1
bumped 1
but 6
by 2
calls 2
calms 1
camp 2
cant 1
class 2
classmates 1
comes 1
concentration 1
consciousness 1
could 1
courage 1
day 1
days 1
death 1
decides 1
devotion 1
diary 1
did 2
die 1
died 1
dramatically 1
drawn 1
dream 2
during 3
english 2
eventually 1
everyone 1
family 2
fascinated 1
feels 1
fellow 1
few 1
fictional 1
fifteenyearold 1
figure 1
find 1
finds 3
firecrackers 1
following 1
for 3
forced 1
france 1
frank 2
french 1
frenzied 1
friends 1
from 2
frustrations 1
funeral 2
gave 1
german 1
germans 1
gets 1
girl 2
girlx 4
go 2
goes 1
granted 1
gunfire 1
had 4
has 1
have 1
head 1
hears 1
her 24
herself 4
hide 1
hiding 1
high 1
hitler 1
holocaust 8
hospital 1
household 1
how 1
however 1
hysterical 1
if 3
ill 1
in 15
instead 1
invasion 1
is 10
it 2
jew 1
jewish 3
just 1
killed 1
labor 1
later 1
leads 1
left 1
letter 2
letters 3
life 2
lifestyle 1
like 1
littzergold 7
live 2
lived 2
living 2
lizbette 6
local 1
looks 2
loses 1
loves 1
lying 1
meets 1
met 1
mocking 1
months 1
mrs 5
museum 4
name 1
named 1
never 2
next 1
nicole 32
no 1
nonjews 1
not 1
notes 1
nothing 1
notices 1
of 10
off 1
on 3
one 2
only 1
oppose 1
or 1
other 1
out 4
outside 1
overnight 1
owned 1
paris 3
past 1
paulette 2
peers 1
picture 1
policies 1
prayer 1
previously 1
protect 1
read 1
really 1
refuge 1
remembers 1
resistance 1
rest 1
right 1
roles 1
run 1
rundown 1
running 1
sadly 1
same 1
save 1
says 1
school 2
sees 1
sending 1
sent 2
set 1
several 1
she 30
showers 1
shrieking 1
silence 1
sister 4
situation 1
slave 1
speaks 1
split 1
staircase 1
stay 1
stays 1
streets 1
string 1
struck 1
student 1
students 2
studies 1
succumb 1
survivor 2
takes 3
talked 1
talks 1
teacher 1
tearfully 1
teens 1
tells 2
terror 1
thanks 1
that 11
the 41
them 1
then 2
they 2
things 1
thought 1
to 25
told 2
train 1
transported 1
tries 1
trip 2
up 2
very 1
visited 1
wakes 2
walks 1
was 6
website 2
when 2
where 1
which 1
while 1
whispers 1
who 5
with 5
woman 3
world 1
worse 1
writes 1
written 1
year 1
young 1
