4503207
/m/0c5xds
/m/0c5xds
Eleanor Estes

11 1
a 9
about 1
after 2
all 2
almost 1
and 8
anyone 1
anything 1
around 1
ask 1
asked 1
at 1
back 2
badly 1
because 1
been 2
behind 1
bennie 2
book 1
bought 1
bullwinkle 1
but 4
called 1
character 1
church 1
connecticut 1
could 1
couldnt 1
cranbury 2
day 1
days 1
decided 1
did 1
disappeared 1
dog 4
dollar 1
doody 1
dusting 1
end 1
even 1
everybody 1
few 1
find 2
follower 1
following 1
footsteps 1
for 2
forget 1
found 2
friends 1
from 1
ginger 13
given 1
go 1
goes 1
got 1
had 3
hadnt 1
happy 1
hardearned 1
has 1
he 8
headed 1
heard 1
help 1
him 2
his 7
home 2
if 1
in 4
is 1
jerry 8
knew 1
later 1
like 1
located 1
looks 1
made 1
missing 1
moment 1
mother 2
ms 1
name 2
named 2
neighbors 2
never 1
not 2
of 3
on 2
one 1
or 1
out 2
person 1
pews 1
pleased 1
puppy 4
pye 2
pyes 1
quality 1
rachel 3
remembered 1
resident 1
said 1
sam 1
school 1
see 1
shed 1
sister 2
smart 1
so 1
speedy 1
stole 1
suddenly 1
thanksgiving 1
that 6
the 11
them 2
then 3
they 9
think 1
this 2
thought 2
tied 1
to 3
treated 1
tried 1
turned 1
uncle 2
unsavory 1
up 1
very 1
wally 1
wanted 1
was 8
way 1
when 2
while 1
who 2
with 1
would 1
