22139851
/m/05p1hzd
/m/05p1hzd
Sharon Draper
2001
3 1
a 18
about 15
accept 1
action 1
african 1
afroqueen 1
after 5
afternoon 3
again 4
agreeing 1
air 1
alive 1
all 1
also 1
am 1
american 1
and 40
announce 1
anonymously 1
another 1
any 1
approves 1
are 4
around 1
arrange 1
arrive 1
arrives 1
as 8
asking 1
asks 2
assumes 1
at 20
attention 1
back 1
backup 1
because 1
become 1
beginning 1
belonged 1
ben 11
black 2
blacks 1
blazar 1
bleed 1
boat 1
bottom 1
breaks 1
breathing 1
bringing 1
but 1
by 5
call 1
calling 1
calls 5
cameraman 1
cannot 1
cappelle 3
car 3
charged 1
chat 3
chatroom 1
chats 1
chatted 1
christi 1
christmas 1
cincinnati 3
classmate 1
classmates 1
clock 1
come 1
community 1
concluding 1
confessing 1
conflict 1
continues 1
continuing 1
cope 1
cornell 1
corpus 1
couple 1
covers 1
dangerous 1
date 3
day 2
days 1
decide 1
deeply 1
denies 1
destiny 13
devil 4
devildogs 1
diary 1
diego 2
disappearance 1
disapprove 1
disapproves 1
do 1
dogs 4
dont 1
down 2
draw 1
dream 4
dreamed 1
dreams 1
dredge 1
drowning 2
during 1
each 1
end 3
ends 1
enough 1
entire 1
evening 1
eventually 1
excitedly 1
experiences 2
explain 1
face 2
fall 1
fallen 1
families 1
family 2
father 2
fathers 2
fault 1
feel 1
fell 1
film 1
finally 1
find 3
finds 5
firearm 1
first 4
five 1
floating 1
follow 1
following 1
follows 2
for 5
forward 1
friend 1
friends 2
from 1
fun 1
gang 6
gangs 1
gets 2
getting 1
go 1
good 1
groan 1
grown 1
gunpoint 1
had 6
hand 1
hanging 1
hangs 1
happened 2
hard 1
has 2
hates 2
having 2
he 15
head 1
hears 1
help 1
her 14
herself 1
him 5
his 12
hits 1
home 6
horror 1
hospital 1
house 2
how 6
however 1
hugging 1
if 1
in 11
interactions 1
internet 1
interview 1
interviews 1
into 3
invites 1
is 16
it 3
job 1
journal 2
julio 35
kidnapped 1
killed 1
kissing 1
knowledge 1
knows 1
lady 2
lake 4
land 1
last 1
later 4
laugh 1
leaving 2
left 1
lightning 1
like 3
local 1
log 1
logs 1
london 4
long 1
looking 2
looks 1
love 2
loves 1
luis 3
lunch 9
makala 1
make 1
makes 1
malaka 4
male 1
man 2
maria 1
mate 1
meanwhile 2
meet 1
member 1
members 1
mentions 1
minicam 1
missing 2
moment 1
monday 2
montague 2
montagues 1
more 2
morning 2
mother 2
mounting 1
movie 1
much 2
name 1
nannette 1
new 1
news 1
newscaster 1
newscasters 1
next 1
night 2
norris 1
nose 1
not 2
novel 1
now 1
o 1
oclock 1
of 16
officer 1
officers 1
on 9
once 2
online 3
only 1
other 3
out 3
over 2
parents 3
people 2
person 1
plan 2
pocket 1
point 1
police 1
possession 1
pressures 1
previous 1
principal 1
problem 1
pull 1
pulls 1
push 1
put 1
realizes 1
recognizes 1
recurring 1
relationship 2
relax 1
relaxing 1
rest 1
rival 1
romeitte 2
romi 13
romiette 26
runs 1
same 1
saw 1
says 2
school 4
scientific 1
screen 1
see 2
seeing 1
separated 1
she 13
shoe 1
shot 1
sign 1
sit 1
six 1
something 1
son 3
soon 5
soul 1
spanishlover 2
spends 1
spots 1
start 1
starting 1
starts 2
stop 1
store 1
story 1
stranded 1
strikes 1
sunday 1
supposed 1
swim 1
system 1
table 1
takes 1
talk 2
talks 1
tell 1
telling 2
tells 4
texas 3
that 15
the 51
their 7
them 4
themselves 1
then 1
they 9
thing 2
think 1
thinks 1
this 2
thought 1
threaten 1
threatened 2
through 1
time 2
to 39
together 1
too 1
towards 1
tries 1
tripped 1
trouble 1
troubles 1
try 1
unable 1
unaware 1
under 1
up 3
vacation 1
voice 2
vowing 1
vulnerable 1
wake 1
waking 1
walk 1
warns 2
was 3
watch 1
way 1
what 4
when 9
where 2
whereabouts 1
which 1
while 2
who 3
whole 1
with 13
without 1
woods 4
work 1
write 2
writes 1
writing 1
