31388317
/m/0gkzbpk
/m/0gkzbpk
Julia Golding
2008-02-04

a 4
acting 1
after 1
again 1
alone 1
and 15
are 2
as 2
at 4
away 1
believes 1
belongs 1
billy 2
both 1
but 5
cat 10
common 1
decide 1
decides 1
delusional 1
discover 1
disgusted 2
duet 1
earn 1
end 1
equality 1
fair 1
falls 1
feels 1
fellow 1
finally 1
for 1
forces 1
forgive 1
former 1
frank 1
freedom 1
frightened 1
from 1
gain 1
gets 1
go 1
going 1
hawkins 2
he 5
heartbroken 1
help 1
her 6
him 2
his 2
horrified 1
ill 1
in 4
involved 1
is 7
it 1
jamaica 2
johnny 1
kidnaps 1
knows 1
lawful 1
learn 1
learns 1
leave 3
living 2
lizzie 1
malaria 1
men 1
mr 2
must 1
of 3
on 1
owner 1
pedro 8
performance 1
plantation 1
playing 1
prospect 1
puts 1
rescues 1
revolt 1
rights 1
sake 1
she 4
sick 1
slave 2
slavery 2
so 1
soon 1
stage 1
stay 1
still 3
syd 1
taunts 1
tells 1
that 4
the 3
their 1
then 1
they 1
thinks 1
to 8
together 1
uncomfortable 1
up 1
upset 1
very 1
violin 1
when 1
which 1
while 2
will 1
with 4
without 1
working 1
