11704334
/m/02rpk4n
/m/02rpk4n
Mildred Taylor
2001
1870s 1
80s 1
a 21
able 1
about 1
advantage 1
advice 1
affair 1
after 4
against 2
age 1
agreement 1
also 1
an 4
and 29
any 2
apart 1
appears 1
are 4
as 1
at 3
attracted 1
attractive 1
away 1
be 1
because 2
become 1
becomes 1
been 1
beginning 1
begins 1
being 3
between 1
bias 2
biracial 2
black 4
book 2
born 1
both 1
boy 1
brings 1
brother 4
brothers 3
builds 1
bullies 1
but 3
by 2
can 1
cant 1
caroline 4
cassie 5
charles 1
child 1
childhood 2
children 2
clear 1
collecting 1
come 1
constant 1
continually 1
cook 1
cope 1
daddy 1
deal 1
dealing 1
describes 1
dialect 1
dialogue 1
dies 1
different 1
does 1
doesnt 2
during 2
each 1
earned 1
eastern 1
edward 2
egacy 1
eldest 1
eleven 1
end 1
ends 1
english 2
ensure 1
entries 1
epilogue 1
eventually 1
excellent 1
falls 1
father 12
fend 1
fight 1
figure 2
filmore 3
financial 1
find 1
first 1
flee 1
follows 1
for 7
force 1
four 1
fourteen 1
freed 1
friend 1
from 6
furniture 1
gap 1
gentle 1
george 2
get 1
gets 1
give 1
goes 2
gone 1
grandchildren 1
granger 4
had 1
half 1
hammond 2
happens 1
happy 1
harlan 1
has 5
have 2
having 1
he 14
head 1
help 2
helps 1
him 7
himself 2
his 13
hollenbeck 1
horse 2
how 3
howard 1
if 1
ill 1
in 6
incident 1
instead 1
introduces 1
is 15
it 1
jamison 2
journal 1
jt 1
keeps 1
land 3
landowner 2
later 1
learning 1
learns 1
letter 1
life 2
like 1
logan 2
looks 2
luke 1
main 1
makes 1
man 5
many 1
married 1
meet 1
member 1
millhouse 1
mitchell 9
mom 1
money 1
months 1
more 1
most 1
moves 1
multiracial 1
named 1
narrated 1
nathan 1
nathans 1
nine 1
not 1
novel 2
of 16
old 1
older 2
oldest 1
once 1
one 2
only 1
opportunity 1
other 1
out 1
owned 1
owner 1
parents 1
part 1
passionate 1
paul 42
pauledward 1
paulwhen 1
pay 3
pays 1
perry 3
perspective 1
playing 1
price 1
quickly 1
quicktempered 1
rachel 1
racial 2
racist 3
ray 1
read 1
reasonable 1
relationship 1
reminded 1
reminders 1
return 1
rider 1
riding 1
robert 3
run 1
sam 3
same 1
sawyer 1
saying 1
second 1
see 1
seems 2
sell 1
sends 1
sent 1
several 1
she 2
shop 1
show 2
sick 2
since 1
sister 2
slave 1
slaves 1
sleep 1
smart 1
so 1
solution 1
son 2
soon 1
southern 1
spend 1
stands 1
story 1
storyline 1
strike 1
sutcliffe 1
take 1
teach 3
teaches 1
tells 1
texas 1
that 4
the 30
their 3
then 1
they 2
things 1
this 1
thomas 1
three 2
times 1
to 22
together 1
towards 2
trials 1
tribulations 1
tries 1
trouble 1
two 2
type 1
up 2
use 1
uses 2
very 1
violent 1
vital 1
wade 2
what 1
when 2
white 7
who 5
whole 1
whose 1
wife 1
will 1
willing 2
win 1
winning 1
with 8
without 1
woman 2
woodworking 1
word 2
works 1
write 1
written 1
yankee 1
year 1
years 1
