3112463
/m/08s5lr
/m/08s5lr
Michael Reaves

a 22
about 1
after 5
again 2
agree 1
all 1
along 1
also 2
although 1
an 4
and 30
anoon 1
anyone 1
apprentice 1
are 4
area 1
arrives 1
asks 1
assant 2
at 2
attack 1
attacked 2
attempts 1
automatic 1
awakens 1
away 1
barely 2
battle 1
be 1
become 1
been 1
before 2
begins 1
betrayal 1
black 4
blades 1
block 1
blockade 3
body 1
bodyguards 1
bondara 3
bounty 2
brief 1
building 2
but 7
by 13
canisters 1
cannot 2
carbonite 1
carbonitefreezing 1
caused 1
causing 1
caverns 1
claiming 1
come 1
completed 1
completes 1
con 1
confronted 1
considers 1
contacts 1
corellian 1
coruscant 4
cost 1
creature 1
crime 2
dangers 1
darsha 10
darth 4
deactivates 1
deal 1
death 1
decapitating 1
decides 2
deeply 1
defeat 1
delegation 1
destroy 1
destruction 1
details 1
does 1
doublebladed 1
down 1
draws 1
droid 4
duel 1
else 1
enough 2
escape 1
escapes 1
escaping 1
escort 1
eventually 1
explosion 3
faced 1
falls 1
federation 1
federationhired 1
feels 1
final 1
finalize 1
finally 1
find 1
first 2
follow 1
follows 1
fondorian 1
for 5
force 3
forcehoned 1
forces 1
foursome 1
frees 1
friend 2
from 6
fulfilling 1
fullfledged 1
galaxy 1
gang 1
gas 1
get 2
gives 2
giving 1
go 2
had 2
hand 1
has 1
hastily 1
hath 1
have 1
hawkbats 2
he 6
her 1
hibernation 2
hiding 1
high 1
him 6
himself 1
his 19
holocron 6
however 2
hunt 1
hunter 2
hutt 1
identity 1
ifive 10
immediately 1
impaling 1
in 12
information 3
inside 1
instincts 1
intended 1
intent 1
into 3
is 9
it 3
its 2
jedi 9
keep 1
kill 3
killed 1
kills 4
knight 1
knowledge 1
knows 1
leading 1
learns 1
leave 1
leaves 1
leaving 1
levels 4
life 1
lifeforce 1
lightsaber 3
long 1
lord 1
lorn 19
lower 3
made 1
makes 1
making 1
man 1
manages 1
manipulation 1
master 3
maul 23
meanwhile 1
meet 1
meets 1
member 3
memory 1
might 1
missing 1
mission 2
momentarily 1
monchar 3
money 2
motivated 1
murders 1
naboo 3
named 2
nature 1
nearly 2
need 1
neimoidian 1
no 1
not 5
novel 1
of 27
on 7
once 1
one 5
only 2
oolth 4
opponent 1
opportunity 1
order 1
ordered 1
orders 1
out 4
over 1
own 2
padawan 2
palpatine 1
part 1
partner 1
pavan 2
period 1
piece 1
pile 1
place 1
plan 2
planet 1
plunges 1
point 1
possession 1
presence 1
previous 1
profit 1
proof 1
public 1
purchaser 1
purely 1
pursuing 1
quarters 1
quickly 1
realizes 1
realizing 3
recorded 1
recovery 1
related 1
release 1
repair 1
republic 1
resentful 1
retreat 1
retrieve 2
returns 1
right 1
saboteur 1
saves 1
saving 1
scene 1
seal 1
secretly 1
seeks 1
sell 1
senator 2
seriously 1
service 1
set 1
severing 1
shadows 1
she 2
sidious 4
sith 2
sneaks 1
some 1
son 1
space 1
starts 1
station 3
step 1
strikes 1
stuns 1
subterranean 2
suicidal 1
sun 4
surveying 1
suspect 1
syndicate 1
take 3
taking 2
task 2
temple 4
that 5
the 60
their 2
then 1
this 4
three 1
through 1
time 2
timer 1
to 37
top 2
toward 1
trace 1
tracking 1
trade 2
traitor 1
trials 1
true 1
try 1
tubes 1
two 2
unaware 1
underground 1
undetectable 1
unit 1
unwittingly 1
up 3
upon 2
uses 1
various 1
volatile 1
waiting 1
way 1
when 2
where 2
which 2
while 1
who 4
wipe 1
with 4
work 1
worthy 1
wounded 1
yanth 2
years 1
zipline 1
