13512359
/m/03c7s3v
/m/03c7s3v


{"/m/0dwly": "Children's literature"}
120s 1
2004 1
50 1
a 8
abroad 1
absent 1
acceptance 1
adventure 1
after 1
also 1
ammunition 1
amoral 1
an 2
and 18
appear 1
are 5
around 1
arrives 1
art 1
as 7
aspects 1
at 2
attempts 1
aunt 2
author 1
away 1
banchester 1
based 2
bear 1
becomes 1
been 1
between 1
big 1
biggins 1
boarding 1
book 3
both 2
boys 4
brazenly 1
brendon 1
british 2
brothers 2
bunting 1
burner 1
but 1
by 13
called 2
can 3
capture 2
cared 1
catch 1
character 1
charcoal 1
chase 1
children 1
christmas 2
christopher 1
clearly 1
close 1
clothes 1
cold 1
college 1
community 1
conflict 1
conservative 1
continued 1
craig 1
crutchley 1
curran 1
cynical 1
daily 1
decide 1
described 1
despite 1
died 2
doctor 2
does 1
down 1
easter 1
eccentric 1
eight 2
elderly 1
ellen 1
empire 1
encounter 1
end 2
ends 1
era 1
erangey 1
escaped 1
evade 1
express 1
falls 1
father 2
fend 1
fictional 1
find 1
food 1
for 5
forest 3
friend 1
from 4
goddard 1
ground 1
had 2
harold 4
has 6
have 1
having 1
he 1
hensman 2
her 1
hibernate 1
his 3
history 1
holidays 1
hollow 1
hood 1
house 1
howard 1
however 1
hurling 1
hut 1
ill 1
illness 1
in 22
india 1
ingenious 1
injured 1
inspired 1
interest 1
interesting 1
involves 1
involving 1
is 8
it 2
joe 3
john 6
joined 1
journalist 1
kept 1
kill 1
known 1
later 2
life 1
literature 1
little 1
lived 1
living 3
liza 1
london 2
long 1
mcfarlane 1
measles 1
michael 1
moment 1
monica 1
months 2
more 1
most 1
mother 1
much 1
name 1
near 1
newspaper 1
not 3
novel 1
number 1
oak 1
occasionally 1
of 13
offered 1
on 3
one 2
only 2
other 1
out 1
outlaws 1
paper 1
papers 1
parents 1
part 2
paul 2
planet 1
played 8
police 1
populist 1
prove 1
public 1
quickwitted 1
rabbit 1
recovers 1
recurring 1
referred 1
reporting 1
represents 1
resonance 1
return 1
returned 1
reverend 1
reward 1
rifle 1
risking 1
robbins 1
robin 5
rosalie 1
rugby 1
run 2
running 1
rural 1
saves 1
school 2
secret 1
sergeant 1
series 11
seriously 1
settles 1
she 2
similar 1
skins 1
smokoe 3
so 2
social 1
some 1
somewhat 1
sophisticated 1
sources 1
specifically 1
spend 1
spent 1
spinster 1
stirring 1
stories 1
story 1
strict 1
subplot 1
such 1
sufficiently 1
supplies 1
survive 1
surviving 1
taken 1
taking 2
taught 1
taylor 1
terms 1
that 2
the 53
their 10
them 2
themselves 1
there 1
thereby 1
they 5
this 2
though 1
three 1
time 3
to 10
today 1
tree 1
tv 10
unable 1
until 1
up 1
usually 1
was 1
wearing 1
were 1
what 1
when 3
where 3
which 1
while 2
whiting 1
who 7
whoever 1
wider 1
wild 2
winchester 1
winter 1
with 3
worn 1
written 1
