31885329
/m/0gvrmx0
/m/0gvrmx0
Andre Vianco


after 1
an 1
and 2
are 1
army 2
back 1
bat 1
bizarre 1
brazil 1
brazilian 1
brothers 1
can 1
come 1
damage 1
decides 1
do 1
dominate 1
earth 1
five 1
for 1
form 1
great 1
he 4
help 1
him 1
his 2
homeland 1
huge 1
hundred 1
in 3
is 1
james 1
kill 1
killed 1
livro 1
longer 1
most 1
no 1
not 1
of 1
ptstimo 1
realizes 1
sevens 1
seventh 1
sleeping 1
spectacle 1
stop 1
survive 1
the 4
this 1
to 4
up 1
vampires 1
wakes 1
war 1
will 2
world 1
years 1
zombies 1
