303465
/m/01s5tc
/m/01s5tc
Kurt Vonnegut
1961
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
133 1
a 22
able 1
about 5
action 1
actress 1
acts 1
adds 1
adjunct 1
adolf 2
advice 1
after 5
again 1
against 2
agency 1
agent 2
aimed 1
alive 1
all 2
along 1
also 2
always 1
american 3
americans 1
an 8
and 23
announces 1
anonymous 1
another 1
answer 1
anything 1
apartment 2
apathetic 1
appearance 1
appears 1
approached 1
are 3
army 1
arrived 1
art 1
aryan 1
as 5
associations 1
assumes 1
at 4
attending 1
author 1
autobiography 1
awaits 1
be 6
becomes 1
becoming 1
been 6
before 3
began 1
begins 1
being 3
bench 2
berlin 3
better 1
book 4
broadcasts 1
buildup 1
business 1
but 3
by 6
calling 1
camp 1
campbell 32
can 1
capsule 1
captured 1
careful 1
caring 1
cause 2
celebre 1
cell 2
central 1
charade 1
chief 1
city 3
claiming 1
coded 2
coincidence 1
coincidentally 1
come 1
comes 1
commits 1
complicity 1
confronts 1
contacts 1
continue 1
continues 1
converting 1
corroborating 1
coughing 1
could 1
court 1
crimea 1
crimes 2
curiosity 1
custody 1
cyanide 1
dead 3
deal 1
death 2
decides 3
decision 1
declare 1
deliberate 1
dentist 1
department 1
despite 1
different 1
discovers 1
distraught 1
dont 1
during 2
each 1
eastern 1
eichmann 1
elaborates 1
encounter 1
end 2
ends 2
entertain 1
entertaining 1
escape 1
etc 1
even 2
eventual 1
eventually 2
ever 1
evidence 1
except 1
exchange 2
existence 1
extraordinary 1
extremely 1
fact 1
fascist 1
fate 1
father 1
fbi 1
feelings 1
feels 1
finally 1
finds 1
first 3
fleeing 1
for 8
forces 1
form 1
frank 1
free 2
freedom 1
friend 1
from 3
front 1
further 1
genuine 1
george 1
german 1
germany 3
get 1
given 1
gives 1
go 1
goebbels 1
goes 2
good 2
granted 1
group 1
had 7
halfway 1
hang 1
happen 1
happens 1
has 7
have 1
he 33
hears 1
heartbroken 1
helga 5
her 3
him 7
himself 4
his 21
hitler 1
holding 1
how 2
however 1
humanity 1
i 3
idea 1
idiosyncrasies 1
if 1
ii 2
immediately 1
in 23
included 1
indeed 1
indifferent 1
influence 1
information 2
inlaws 1
inserts 1
instance 1
intelligence 2
into 2
introduction 1
invades 1
inviting 1
is 16
israeli 1
israelis 1
it 7
jail 1
job 1
jones 2
joseph 1
just 2
know 2
kraft 3
last 2
later 3
latter 1
leader 1
learns 1
leave 1
letter 1
life 2
liked 1
lines 1
lionel 1
live 1
lives 1
living 2
lonely 2
longer 1
love 2
loyalties 1
make 2
makes 2
man 1
marvelous 1
me 1
meeting 1
meetings 1
meets 1
member 1
members 1
memories 1
messages 2
mexico 1
mine 1
minor 1
moral 5
moscow 1
mother 1
much 1
must 1
name 1
named 1
nauseated 1
nazi 4
nazis 2
neighbormdashwho 1
never 3
new 4
night 1
no 2
nonchalance 1
nor 1
not 2
notable 1
now 1
observation 1
occurs 1
of 28
offer 2
offers 1
office 1
on 7
once 3
one 4
only 6
organization 2
other 2
out 1
overrun 1
own 1
page 1
parentage 1
parents 1
park 1
part 3
party 1
passage 1
passing 1
patriot 1
pauses 2
periodically 1
place 1
plan 1
plays 2
pleasure 1
plot 1
point 1
police 1
politically 1
positions 1
power 1
predecessor 1
presumed 1
pretend 2
probable 1
professing 1
propaganda 2
publicizing 1
quickly 1
raids 1
rather 3
real 1
realizes 1
reason 1
received 1
recruits 1
rejects 1
relieved 1
remains 1
resi 5
resonate 1
rest 1
returns 2
reveals 1
right 1
ruling 1
sad 1
saved 1
say 1
saying 1
says 1
seized 1
sending 1
served 2
services 1
set 2
she 3
shows 1
side 1
similarly 1
since 1
sister 2
sitting 2
so 2
social 1
soitgoes 1
soviet 2
speak 1
speech 1
spy 5
stand 1
starring 1
starts 1
stay 1
story 2
strategic 1
sufficiently 1
suicide 1
supremacist 1
surprise 1
sustained 1
swearing 1
take 1
takes 2
taking 1
tells 3
testify 1
than 2
that 18
the 59
then 5
there 1
they 1
think 2
this 3
though 1
thought 1
through 3
throughout 1
time 2
to 40
told 2
transferred 1
transmitting 1
trial 3
trick 1
tries 1
troops 1
true 2
truth 1
turn 1
unbeknownst 1
undying 1
up 2
upcoming 1
upon 1
us 5
uses 1
very 1
visits 1
vitriolic 1
voice 1
vonnegut 3
waiting 1
wants 2
war 7
warn 1
was 5
way 1
we 4
week 1
well 1
what 4
when 5
whence 1
where 2
which 1
while 2
white 1
who 1
whose 1
wife 4
will 6
wirtanen 9
with 6
woman 1
works 1
world 2
write 2
writes 1
years 2
yet 1
york 3
you 2
younger 2
youre 2
zoo 1
