21168728
/m/05b_8wz
/m/05b_8wz
Monteiro Lobato

2228 2
30minute 1
88th 1
a 3
action 1
against 1
all 1
american 1
and 3
astor 1
becoming 1
before 1
black 2
blacks 2
book 1
candidate 2
dead 1
declares 1
during 1
either 1
election 2
electronic 1
evelyn 1
feminist 1
first 1
for 1
found 1
genetically 1
he 3
his 2
hour 1
however 1
in 6
incumbent 1
intermingling 1
is 3
james 1
jim 1
kerlog 2
leader 1
male 1
most 1
named 1
of 2
office 1
one 1
place 1
plot 1
postpones 1
president 2
presidential 1
prohibited 1
pure 1
racial 1
reelection 1
remain 1
roy 3
runs 1
so 1
states 2
sterilize 1
support 1
takes 1
that 2
the 10
then 1
this 1
to 1
united 2
until 1
voting 1
when 1
white 2
whites 2
wilde 1
wins 2
world 1
