18455306
/m/04f0q9w
/m/04f0q9w
Ian Page
1986
a 1
agarash 1
aid 1
all 1
and 7
battling 1
brink 1
completed 1
conflict 1
damned 1
daziarn 1
defeat 1
demon 1
demons 1
destiny 1
dreaded 1
enlisted 1
eradicate 1
evil 1
final 2
find 1
for 1
forces 2
freedom 1
fulfill 1
good 1
grey 2
guild 1
harrowing 1
has 1
have 1
his 1
hordes 1
in 3
installment 1
just 1
lone 1
lord 1
magnamund 1
minion 1
moonstone 1
movement 1
must 1
of 8
on 1
once 1
order 1
poised 1
promise 1
quest 1
realm 1
rejoin 1
resistance 1
retrieving 1
return 1
shadow 1
shasarak 1
shianti 1
star 2
struggle 1
tanith 2
the 16
their 1
this 1
through 1
to 5
two 1
undead 1
upon 1
way 1
wolf 1
world 1
wytchking 1
