6201096
/m/0fwgvn
/m/0fwgvn
Len Deighton

{"/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
a 5
agent 1
an 1
appearance 1
arrested 1
as 1
berlin 1
bret 1
but 1
by 2
conducted 1
defector 1
department 1
due 1
east 2
ends 1
erich 1
exchange 1
for 2
frame 1
friend 1
german 2
him 1
his 3
in 1
intelligence 1
is 3
it 2
kgb 2
leaked 1
memorandum 1
mi6 1
now 1
of 4
old 1
on 1
operation 1
organizes 1
part 1
plot 1
police 1
rensselaer 1
samson 3
sbahn 1
shootout 1
stinnes 1
superior 1
suspects 1
that 2
the 5
there 1
to 3
traitor 1
transpires 1
unauthorised 1
volkmann 1
was 1
werner 1
when 1
which 1
wife 1
within 1
working 1
