13325398
/m/03c1s03
/m/03c1s03
Jack McDevitt
1986-11
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
128 1
16 1
2 2
32 1
4 1
64 1
8 1
a 12
able 1
about 2
according 1
addresses 1
advanced 3
affect 1
again 1
alien 1
aliens 1
almost 1
also 1
althea 2
amount 1
an 2
and 9
announcement 1
appear 1
are 2
arise 1
array 2
artificial 1
as 2
attention 1
authenticity 1
background 1
be 4
been 1
believe 1
believed 1
between 2
binary 1
breaks 1
built 2
by 3
characters 1
close 1
cold 1
come 1
coming 1
completely 1
complex 2
concern 1
consideration 1
consist 1
consists 3
contact 1
contains 1
couple 2
creation 1
culture 1
daily 1
data 2
day 1
days 1
deal 1
decipher 1
deciphered 1
defense 1
dialogue 1
discovered 3
discuss 1
dna 1
do 3
draws 1
eg 1
emphasizes 1
event 1
example 1
existence 1
extraterrestrial 2
fail 1
falls 1
far 1
fictional 1
first 2
following 2
for 12
formulae 1
found 1
four 1
from 1
fully 1
gap 2
gaps 2
goes 1
graphical 1
great 1
groups 1
has 1
have 2
hercules 2
how 4
however 1
ideas 1
if 1
impacts 1
implications 3
in 2
incident 1
information 3
interval 1
is 7
it 7
its 1
jack 1
just 1
know 1
knowledge 2
known 1
large 2
lasts 1
later 2
life 2
likely 1
lot 1
made 1
mankind 5
mathematical 1
mcdevitt 1
message 7
military 1
missing 3
moon 1
more 2
name 1
national 1
new 2
newly 2
no 1
normal 1
not 3
novel 1
now 1
numbers 3
observed 1
of 25
on 5
one 2
ongoing 1
or 1
origin 1
other 1
our 1
own 1
particular 1
parts 1
pattern 1
people 2
perfectly 1
philosophical 1
physical 1
play 1
poems 1
politicians 1
possible 1
powerful 1
powers 1
prepared 1
president 1
priest 1
protagonists 1
proven 1
psyches 1
psychologist 1
pulsar 5
pulse 1
pulses 4
questions 1
race 1
radio 2
react 1
reaction 1
reactions 1
receipt 1
receive 1
received 3
regular 1
religion 1
religious 1
remarkable 1
representing 1
responsibility 1
risky 1
scenario 1
schematics 1
scientific 1
scientists 4
second 2
sender 1
senders 1
sent 2
sequence 1
set 1
several 3
should 1
show 1
side 1
signals 1
silence 1
silent 1
simple 2
some 1
someday 1
somewhere 1
space 1
special 1
specialties 1
specific 1
speculations 1
stories 1
story 1
suddenly 1
technologies 1
technology 3
telescope 1
texts 1
that 2
the 46
their 2
theorizing 1
there 1
these 2
third 1
this 7
thousand 1
through 1
time 1
to 10
together 1
totally 1
transmission 1
travelled 1
two 1
understood 1
unlike 1
until 2
upon 1
using 1
various 1
very 2
war 1
was 4
weeks 1
what 3
which 2
who 1
with 6
would 6
years 2
yet 1
