752711
/m/038dbg
/m/038dbg
David Eddings
1997
2000 1
5 1
a 16
abandonment 2
able 1
about 1
ac 1
academic 1
accept 1
access 1
according 1
afraid 1
after 3
again 1
age 1
aldur 4
all 2
aloria 1
alorn 2
also 2
although 1
an 4
and 27
apparent 2
are 1
arendish 2
as 8
assassins 1
assume 1
at 7
away 1
babies 1
battle 1
be 3
beautiful 1
became 4
because 2
become 2
been 2
before 1
befriended 1
began 2
beginning 1
begins 1
being 1
beldaran 11
beldin 1
belgarath 9
belgariad 2
believed 1
belkira 1
beltira 1
between 1
birds 1
birth 3
bitterly 1
book 1
born 5
both 1
bride 1
broke 1
brought 1
but 9
by 4
calendar 1
care 1
caring 1
cenedra 1
center 2
changes 1
chosen 1
civil 1
close 1
closer 1
competing 1
condition 1
confused 1
continued 3
could 2
dark 2
dates 1
daughter 1
daughters 2
dead 1
death 1
defeat 1
defiance 1
deformed 1
descendants 2
destinies 1
destroyed 1
determine 1
did 1
died 2
directed 1
disciple 1
disciples 2
distressed 1
dominance 1
dominant 1
duchess 2
duchy 3
due 1
dukes 1
during 1
durnik 1
dwarf 1
earliest 1
earned 1
enchanters 1
end 2
ends 1
enforced 1
entreating 1
erat 3
event 1
eventually 6
expert 1
fairhaired 1
father 4
female 1
fight 1
filling 1
first 4
firstborn 1
fled 1
focus 1
following 1
for 6
force 1
forehead 1
forever 1
forgive 1
forgiveness 1
forgotten 1
form 2
formed 1
freeing 1
from 2
further 1
game 1
gaps 1
garion 2
gesture 1
go 1
god 1
government 1
gratitude 1
grayhaired 1
great 1
guardian 1
had 6
hair 1
hated 1
hatred 1
have 1
heirs 1
help 1
her 34
him 2
his 7
historical 1
how 1
human 2
identical 1
imposed 1
in 17
indeed 1
infuriated 1
instinctive 1
instincts 1
into 1
is 1
it 2
its 2
just 1
key 1
killed 1
king 2
kingdom 2
knew 1
knowledge 1
lacking 1
learned 5
left 2
life 4
like 1
line 1
listed 1
living 1
lock 1
loss 2
love 1
made 1
main 1
maintained 2
male 1
many 2
marking 1
memories 1
mental 1
mimbre 3
modernizing 1
mother 6
negotiated 1
new 1
newly 1
nonetheless 1
not 3
noted 1
noticed 1
notions 1
of 41
offense 1
often 2
on 3
once 1
one 2
ongoining 1
opens 1
original 1
other 1
out 1
over 1
overlapping 1
owl 1
own 2
part 3
particular 1
peace 1
people 3
performed 1
physical 1
picked 1
point 1
poledra 2
polgara 27
poor 1
powers 1
practicality 1
pregnancy 1
presented 1
presumed 1
previously 1
prophecies 2
quick 1
race 1
raised 1
raising 1
recounted 1
refusal 1
relationship 2
relatively 1
remained 1
resented 1
returned 2
revealed 1
riva 3
rivan 1
role 2
secret 1
selfsufficient 1
sendaria 2
sensitive 1
serfs 1
shape 1
shapeshifting 1
shared 1
she 14
shift 1
side 1
silver 1
simply 1
sister 3
so 1
sometimes 1
soon 2
sorcerer 2
sorcerers 1
sorceress 6
speak 2
speaking 1
spent 1
still 3
story 3
subdivision 1
surviving 1
symbol 1
take 1
telepathically 1
tended 1
that 8
the 60
their 5
them 1
then 1
there 2
they 2
this 4
thought 1
throughout 1
time 1
to 27
together 1
took 1
torak 4
touch 1
touched 1
towns 1
trained 1
training 2
tree 2
turned 1
twin 3
twins 3
two 1
ultimately 1
uncles 1
understand 1
uneasy 1
unrealized 1
up 1
vale 1
various 1
vice 2
vo 5
volume 1
wacune 2
wandering 1
war 2
wars 1
was 25
we 1
wed 1
welcome 1
were 5
what 1
when 3
where 1
which 2
while 2
who 2
wife 1
with 5
wolf 3
wolvish 1
woman 1
womb 2
work 2
would 2
write 1
year 1
years 4
young 2
