13464538
/m/03c65s_
/m/03c65s_
Noah Gordon
1986
{"/m/0hwxm": "Historical novel"}
1020 1
a 23
about 1
access 1
across 1
acts 1
admit 1
afterwards 1
all 1
allow 1
allowed 1
also 1
among 1
amongst 1
and 18
appearance 1
appetites 1
apprentice 1
are 2
armies 1
arrives 1
as 8
at 2
avicenna 2
away 1
back 1
barber 2
barbersurgeon 1
becomes 1
begins 1
being 1
besides 1
best 1
both 1
boy 2
brothers 1
but 1
by 3
can 3
caricatures 1
carpenters 1
chance 1
children 3
christendom 1
christian 2
christians 1
city 1
cole 4
comparable 1
conquered 1
constantinople 1
country 1
crdoba 1
crowd 1
decides 1
delivering 1
desiring 1
despairing 1
did 1
die 1
dies 2
diewhen 1
do 1
door 1
draw 1
eastwards 1
eldest 1
elephants 1
encounter 1
encounters 2
england 1
enter 2
entertain 1
epiphany 1
europe 2
even 2
ever 1
family 1
far 1
faraway 1
father 4
feet 1
find 1
first 1
flee 1
fleshy 2
for 3
form 1
formal 1
friends 2
from 1
gift 1
go 1
goes 2
going 1
great 1
group 1
guild 1
guise 1
had 2
has 2
he 24
heathen 1
helps 1
her 2
here 2
high 1
hills 1
him 3
himself 1
his 16
household 1
how 1
if 1
ignorant 1
immerses 1
in 15
india 1
instruct 1
into 1
is 15
isfahan 1
it 1
jew 1
jewish 4
joiner 1
journeying 1
journeys 1
juggle 1
king 1
know 1
knowledge 1
knows 1
laborious 1
land 1
learning 3
liaison 1
life 3
likewise 2
little 1
living 1
locate 1
london 3
lost 1
make 3
makes 1
malmesbury 1
man 1
many 1
medical 2
medicine 4
meets 1
merchants 1
met 1
moment 1
more 1
mother 1
motheragnes 1
muslim 2
name 1
neighbors 1
new 1
next 1
no 1
nostrum 1
not 2
of 21
on 3
one 1
only 2
opens 1
or 1
out 2
over 2
parceled 2
particular 1
passed 1
patent 1
people 1
persia 4
persian 1
person 1
physician 3
physicians 4
pillage 1
place 2
plaguetorn 1
practice 1
practicum 1
rape 1
residency 1
restless 1
return 2
returns 1
rival 1
rob 11
robert 1
same 1
school 5
schools 2
scientific 1
scotland 1
scottish 1
search 1
searching 1
secretly 1
sell 1
sense 1
shah 2
shall 1
she 1
sheep 1
show 1
similar 1
sisters 1
so 1
someone 1
soon 1
spices 1
steel 1
stories 1
struggles 2
student 1
students 1
study 3
such 1
superior 1
surgical 1
take 2
taken 1
takes 2
taught 1
teaches 2
tell 1
tells 1
term 1
terribly 1
that 2
the 34
their 3
there 1
they 4
though 1
throughout 1
time 1
to 24
toledo 1
travel 1
traveling 2
travels 3
tries 1
turkish 1
unfortunately 1
upon 1
various 1
very 1
wants 1
wartorn 1
way 2
ways 2
wed 1
when 2
where 3
which 2
while 1
who 3
wife 4
with 7
woman 2
wootz 1
worlds 1
would 1
year 1
years 1
zest 1
