3581552
/m/09myhp
/m/09myhp
Judy Blume
1971
a 27
about 1
academy 1
accepts 1
acts 1
add 1
adolescencehis 1
affluent 2
again 2
against 1
also 4
although 1
among 1
amount 1
an 2
and 22
angie 1
announce 1
anxiety 1
anyone 1
anything 1
apprehended 1
are 3
arrange 1
as 5
asks 1
at 1
attacks 2
away 1
baby 1
be 2
because 1
becoming 2
bedroom 1
been 1
being 1
believe 1
besides 1
betray 1
binoculars 2
bird 1
blame 1
both 1
brings 1
brother 4
business 2
but 3
by 2
called 1
calling 1
calls 1
cancer 1
cannot 1
care 1
cartridges 1
catalyst 1
certain 1
change 1
changes 1
child 2
children 2
christmas 1
city 3
claiming 1
clean 1
clearly 1
coinciding 1
comes 1
commits 1
company 1
cook 1
corroborate 1
counselor 1
daughter 1
day 1
deal 1
dealing 1
deceased 1
denies 1
does 2
doesnt 1
doing 1
due 1
electrical 1
electrician 1
electronics 1
emotional 1
end 2
ends 1
enjoyed 1
enough 1
environment 1
eventually 1
experiences 1
extra 1
factory 1
family 4
fancy 1
father 2
feelings 1
feels 1
fictitious 1
finds 1
firsthand 1
follow 1
for 13
friend 2
friends 1
from 2
fullerbach 2
future 1
gains 1
giving 2
go 2
going 1
gorgeous 1
grade 1
grandmother 1
great 2
growing 1
guards 1
guise 1
had 1
hand 1
harsh 1
has 6
have 1
having 1
he 9
hell 1
help 2
her 1
high 1
him 3
himself 1
hired 1
his 27
home 1
hoober 2
hoobers 1
hospitalization 1
housekeeper 1
housework 1
i 1
idea 1
immediate 1
immediately 1
in 10
increase 1
initially 1
inspired 1
into 4
invent 1
inventing 1
invention 1
is 13
island 1
isnt 1
it 5
jersey 4
job 2
jobs 1
joel 10
junior 1
jw 1
known 1
lack 2
large 2
larynx 1
later 3
law 1
learns 1
leaving 1
life 2
like 1
lisa 3
live 1
long 1
longer 1
looks 1
lost 1
made 1
mainly 1
major 1
makes 1
manager 1
manufacture 1
may 1
maybe 1
measure 1
meet 1
miglione 3
military 1
misdeed 1
money 3
more 1
mother 2
move 2
mr 1
much 1
new 4
no 2
not 2
notes 1
obnoxiously 1
obviously 1
of 14
offer 1
older 2
one 3
or 1
oriented 1
outcome 1
oversight 1
parental 1
parents 4
patents 1
path 1
peace 1
peeping 1
permitted 1
phone 1
phony 1
plant 1
popular 1
prank 1
problems 1
provide 1
providing 1
psychologist 1
puberty 1
punishment 1
put 1
quits 1
raise 2
raised 1
ralph 6
rationalizes 1
refuses 1
removal 1
resolves 1
respect 1
result 1
results 1
revealed 1
risk 1
rosemont 1
runs 1
same 1
school 2
scientifically 1
secret 1
security 1
seem 1
seems 1
seen 1
sells 1
sends 1
set 1
seventh 1
shifts 1
shock 1
shoplift 1
shoplifting 2
since 1
sister 1
so 1
social 1
socialclimbing 2
solely 1
spare 1
speak 1
spoiling 1
starts 1
state 1
stealing 1
stop 1
stopped 1
store 2
story 1
strike 1
studies 1
success 1
such 1
sudden 1
surprisingly 1
take 1
teacher 1
teaching 2
tell 1
tells 1
tendency 1
terms 1
that 6
the 18
their 2
then 3
therapy 1
these 1
they 2
thinks 1
this 3
those 1
time 1
to 28
tom 1
tony 20
too 1
town 1
tries 1
true 1
trust 1
try 1
turn 1
unable 1
under 1
undress 1
up 4
upheaval 1
very 1
view 1
vinnie 1
voyeurism 1
was 2
watcher 1
watching 1
wealth 1
when 4
where 1
which 3
while 3
who 3
wife 1
will 2
window 1
wireless 1
wishes 1
with 7
wizard 1
woman 1
wont 1
work 1
workingclass 1
worse 1
wryly 1
york 1
