2730873
/m/07_ksn
/m/07_ksn
Robert Westall
1975-09-18
110 1
111 1
17 1
a 18
aa 1
according 1
account 1
acklington 1
actually 1
after 3
again 1
agrees 1
air 1
airfield 1
alarm 2
alive 1
allow 1
also 1
ammunition 1
an 3
and 20
ankle 2
another 1
anything 1
are 6
arrested 1
at 5
attack 1
audrey 1
authorities 1
back 1
bales 1
battle 1
battles 1
bed 1
been 1
before 1
being 1
believing 1
bells 1
belonging 1
benjamin 1
boat 1
bomb 1
bomber 1
bombing 1
boy 3
bribed 1
but 4
by 5
called 2
caporetto 1
capture 1
carrot 1
cemterycem 1
chaos 1
chas 3
children 13
church 1
clogger 4
crashed 1
cyril 1
damaged 1
day 1
days 1
dead 3
deals 1
discovers 1
do 3
dock 1
does 2
down 1
drafted 1
duncan 1
during 2
east 1
england 2
evades 1
false 1
fatal 1
father 1
fathom 1
fighter 1
finds 2
fire 2
five 1
for 2
force 1
forced 2
foreign 1
fort 1
fortress 7
fought 1
found 2
freckles 1
friend 1
friends 2
from 2
fully 1
gang 1
garmouth 1
gerlath 1
german 4
germanoccupied 1
ginger 1
girl 1
glasgow 1
grandfather 1
group 1
guard 1
gun 5
gunner 1
hair 1
hand 1
handed 1
has 2
have 1
he 12
healed 1
help 1
hidden 1
hides 1
him 2
his 7
home 2
house 1
however 1
hurry 1
i 1
if 1
in 8
including 1
injuring 1
injury 1
intend 1
into 1
invasion 2
is 14
it 3
jones 1
juice 1
keep 1
killed 1
know 1
landing 1
lands 1
language 1
later 3
live 1
living 1
look 1
luftwaffe 1
luger 1
machine 1
machinegun 1
man 1
many 1
mcgill 1
me 1
mend 1
mends 1
miss 1
missing 1
mother 1
name 1
nearby 1
neighbour 1
next 1
nichol 1
nicknamed 1
nicky 7
night 1
north 1
norway 1
not 7
now 1
of 10
off 1
offer 1
on 6
one 1
only 2
open 1
operational 1
other 1
out 2
over 3
overpowered 1
own 2
pair 1
parents 1
parton 1
path 1
permanently 1
pilot 1
pistol 2
plane 2
polish 1
presumed 1
prisoner 1
promptly 1
published 1
puritan 1
raf 1
raids 1
realise 1
realised 1
rear 1
refugee 1
regularly 1
rejoins 1
reveal 1
ring 1
rounds 1
row 1
rows 1
rudi 6
same 1
sea 1
second 1
secret 1
see 1
seeing 1
sequel 1
set 3
shaken 1
shoots 1
shot 1
signalling 1
sin 1
six 1
so 1
soldiers 1
some 1
soon 1
speaking 1
spitfires 1
stitch 1
story 1
strength 1
suffers 1
sufficiently 1
surprised 1
surrender 1
surrendered 1
survived 1
swerves 1
take 1
taken 2
takes 1
team 1
that 2
the 42
their 9
them 2
then 2
they 4
this 1
thousand 1
three 1
to 17
town 1
troops 1
two 3
understandably 1
until 1
up 2
upset 1
very 1
victor 1
walk 1
war 2
was 2
wellmade 1
were 1
where 3
which 1
while 2
who 1
will 1
wish 1
with 8
working 1
world 2
wounds 1
years 1
