2083865
/m/06l26k
/m/06l26k
Madeleine L'Engle
1980
a 17
abandons 1
ability 1
able 1
about 1
accident 1
adam 5
after 2
again 1
allow 1
almost 1
already 1
also 3
an 4
and 24
are 3
arms 1
as 3
asked 1
at 4
attack 1
attempt 1
attends 1
austin 1
automobile 1
aware 1
away 1
baby 1
base 1
basil 1
bay 1
be 1
bear 1
because 1
been 2
beginning 1
betrayal 1
binnie 4
bleeding 1
blood 1
boat 1
book 1
boyfriend 1
break 1
brother 1
burden 1
business 1
but 3
by 2
called 1
came 1
catatonic 1
caught 1
caused 1
come 1
comfort 1
commander 4
communicate 1
communicating 1
communication 2
confusion 1
constantly 1
consumed 1
continues 1
control 1
convulsion 1
course 1
crisis 1
damaged 1
dangerous 1
dark 1
darkness 4
date 1
daughter 1
day 1
dead 1
death 4
demise 1
deterioration 1
devastating 1
die 1
dies 1
discovers 1
disposing 1
dock 1
does 2
dolphin 3
dolphins 2
during 1
dying 1
earlier 1
eaton 1
eddington 1
emergency 1
emotional 1
emotionally 1
encounters 1
esp 2
eventually 1
everywhere 1
extends 1
face 1
facing 1
family 3
father 1
feels 1
finally 1
find 1
finds 1
focused 1
for 1
friend 2
friends 1
frightening 1
from 4
funeral 2
gentle 1
girl 1
goes 2
good 1
grandfather 7
gray 1
had 1
hands 1
hard 1
has 4
he 8
heart 1
help 1
helping 1
hemorrhage 1
hemorrhaging 1
her 19
hers 1
herself 1
him 2
his 3
home 1
hospital 3
human 1
identifies 1
in 9
increasing 1
indirectly 1
intern 1
internally 1
intimacy 1
into 2
is 13
island 2
it 3
jacky 1
john 1
keep 1
know 1
latest 1
launch 1
learns 1
leaves 1
leo 5
leukemia 2
level 1
life 1
light 2
like 1
listen 1
loom 1
maternal 1
meaning 1
meanwhile 1
medical 1
medication 1
meets 1
mental 1
misery 1
mother 2
must 2
mysterious 1
named 1
news 1
next 1
night 1
njord 1
norberta 1
not 3
nurse 1
ocean 1
of 16
often 1
old 1
on 8
one 4
only 1
or 1
others 1
out 1
own 2
parents 1
particularly 1
pick 2
placed 1
play 1
positive 1
present 1
previous 2
project 1
pulls 1
radically 1
rapport 1
reality 1
recent 1
religious 1
remarkable 1
removes 1
reports 1
research 1
revelation 1
rodney 2
romances 1
room 1
rushes 1
saving 1
see 1
seem 1
seizures 2
sends 1
sent 1
set 1
seven 1
she 12
sick 1
sixteen 1
slow 1
solid 1
sons 1
soon 1
spending 1
spotted 1
starts 1
state 1
still 1
story 2
suicide 1
summer 3
takes 1
tangle 1
teeters 1
telepathy 1
tell 1
tells 2
that 8
the 32
them 2
then 1
there 3
they 1
this 2
thought 1
threat 1
three 2
through 1
throughout 1
time 1
to 19
too 1
topic 1
train 1
trauma 1
try 1
type 1
unable 1
unconscious 1
unexciting 1
unspoken 1
unsuccessfully 1
until 2
unwilling 1
up 3
upset 1
vaguely 1
vicky 21
waits 1
was 1
wave 2
well 1
when 2
where 1
which 1
while 2
who 5
whom 2
wife 2
will 1
with 16
year 1
zach 1
zachary 6
