2235536
/m/06y4fm
/m/06y4fm
Anthony Burgess
1978-10-01
{"/m/026ny": "Dystopia", "/m/0c082": "Utopian and dystopian fiction"}
177 1
a 31
action 2
after 2
again 3
aim 1
aiming 1
aims 1
alcohol 1
aldorchester 1
alone 2
also 1
among 1
an 2
and 15
anglo 1
apprehended 1
approaches 1
are 1
around 1
arrested 1
as 10
at 6
away 1
back 1
be 4
because 2
becomes 2
been 4
beer 1
beginning 1
being 1
beliefs 1
bessie 3
between 1
bev 14
both 1
britain 4
britons 3
burgess 2
burned 1
but 2
by 6
called 2
can 2
care 1
cared 1
career 1
caught 1
censored 1
centre 1
chaos 1
charles 1
circulate 1
claimed 1
class 1
clockwork 1
colonel 1
command 1
comprehend 1
confectioner 1
confronts 1
considered 1
contains 1
continuity 1
conversion 1
converting 1
correct 1
country 1
creeps 1
daughter 2
day 2
death 2
deepseated 1
deliberately 1
despite 2
diary 1
difference 1
difficult 1
discovered 1
discovers 1
dismisses 1
dissenters 1
do 1
dont 1
dormitory 1
down 1
drug 2
due 1
during 4
education 2
effectively 2
ejected 1
electric 1
elements 1
employed 2
engages 1
engenders 1
england 1
enlightenment 1
events 1
ever 1
examines 1
example 1
expendable 1
explain 1
facility 3
falling 1
family 1
fancy 1
fantasy 1
favoured 1
fence 1
fever 1
few 1
films 1
finds 1
fire 1
firemen 2
first 2
for 7
form 1
free 4
from 2
front 1
frustrated 1
future 1
general 2
get 1
girls 1
giving 1
goes 1
grinds 1
ground 1
grounds 1
group 2
had 3
halt 1
has 2
have 2
having 2
he 14
her 3
herself 1
him 2
himself 1
his 16
history 3
home 1
hospital 4
hostility 1
however 2
iii 1
in 16
income 1
increasing 1
increasingly 1
industrial 2
informal 1
informed 1
infrastructure 1
inhabitants 1
inmates 2
institution 3
into 2
is 20
islamic 1
isle 1
it 6
items 1
itself 1
joins 1
jones 1
kills 1
knowing 1
known 1
last 1
lawrence 1
leader 1
least 1
leaves 1
lecturer 1
lectures 1
left 1
lessons 1
let 1
life 1
like 1
line 1
live 1
london 2
lose 1
making 1
man 3
meanwhile 1
meets 1
member 2
membership 1
modern 1
months 1
mostly 1
mother 1
mouthpiece 1
muslim 3
need 1
neither 2
network 1
news 2
night 1
no 1
nor 2
not 1
novella 2
of 25
official 1
often 1
old 1
on 3
one 2
only 1
opposed 1
orange 1
order 2
other 2
out 3
over 2
passes 1
pettigrew 1
petty 1
pitch 1
place 1
powerful 1
practical 1
precocious 1
pregnant 1
present 2
presumably 1
previously 1
prison 2
prisoners 1
prohibitions 1
propaganda 1
protagonist 1
provide 1
psychiatric 1
reaches 1
reader 1
reality 2
reasoning 1
recant 1
recently 1
reeducation 2
reestablishment 1
refuses 1
renaissance 1
replacing 1
report 1
reported 1
retrieved 1
returns 1
revives 1
revoked 1
revolution 1
safe 1
satisfied 1
saxon 1
secure 1
sells 1
sentence 1
sentenced 2
served 1
several 1
sexually 1
she 3
sheik 1
shops 1
similarly 1
sleeps 1
slips 1
snippets 1
so 1
society 1
some 1
something 1
soon 1
sortie 1
spontaneously 1
spreading 1
start 1
started 1
state 2
staterun 1
stepped 1
stimulantdepressant 1
stretch 1
strike 6
strikerelated 1
striking 1
subjected 1
such 1
suggest 1
suggests 1
survive 1
sweeping 1
syllabus 1
system 2
taken 2
takes 3
teaching 1
terms 1
thalidomidelike 1
that 10
the 49
theft 1
their 2
them 1
theme 1
then 1
there 2
these 2
they 1
thirteen 1
this 4
through 1
time 2
times 1
to 25
touching 1
towards 1
traveling 1
uk 1
unable 2
unconverted 1
unemployable 2
union 6
unionbased 1
unionisation 1
upon 1
useful 1
vagrant 1
value 1
verify 1
visit 1
warns 1
was 4
way 4
wealthy 1
welladvanced 1
were 1
when 3
where 1
whether 1
which 11
who 4
wife 3
will 4
with 7
words 1
work 4
working 1
writing 1
years 3
