10858097
/m/02qs6nk
/m/02qs6nk
Victoria Holmes
2004-06-01
{"/m/0dwly": "Children's literature", "/m/01hmnh": "Fantasy"}
a 8
able 1
about 1
above 1
after 1
against 1
all 2
also 1
an 1
and 17
apologises 1
appears 1
apprentices 2
are 1
arrive 1
as 2
asks 2
attempt 1
away 1
back 1
bank 1
barely 1
be 1
been 1
before 1
begins 2
behind 1
between 1
bluestar 9
brightpaw 4
brindleface 2
burial 1
but 4
by 3
camp 4
can 2
carry 1
cat 1
cats 1
children 1
clan 3
cliff 1
close 1
closer 1
cloudpaw 1
curiosity 1
dangerously 1
dead 1
death 1
decide 1
deputy 1
destroy 1
discover 1
disfigured 1
distance 1
dives 1
dog 5
dogand 1
dogs 5
down 2
drag 1
drowning 1
each 2
end 1
ending 1
evacuated 1
even 1
everyone 1
face 1
falling 1
fight 1
filled 1
final 1
find 2
fire 1
fireheart 15
firestar 1
for 4
forest 1
forgive 2
found 1
from 1
front 1
get 2
gets 1
good 1
gorge 3
grief 1
grip 1
had 3
happens 2
hard 1
have 1
he 5
head 1
heads 1
heard 1
help 2
her 9
herselfover 1
him 2
hold 1
how 1
however 2
if 2
in 7
insane 1
into 1
is 9
it 2
its 1
just 1
keep 1
keeps 1
kill 4
killed 3
kits 1
last 1
lead 1
leader 4
leading 1
leads 1
leaps 2
leaves 1
leaving 1
life 2
like 1
line 1
loses 1
losing 1
love 2
lying 1
manages 1
mauling 1
mistyfoot 2
more 1
my 1
names 1
near 1
nearby 1
new 1
normal 1
not 2
now 2
obeying 1
of 12
on 2
once 1
only 1
orders 1
other 1
out 1
over 1
pack 11
parents 1
part 1
patrol 2
pins 1
plan 1
pleads 1
protect 1
prove 1
rabbits 2
realised 1
realising 1
really 1
recovering 1
releasing 1
remember 1
remembers 1
repeats 1
reports 1
resumes 1
rid 1
river 2
riverclan 1
run 1
sandstorm 1
sane 1
save 1
saved 1
say 1
senior 1
sense 1
shadowclan 1
she 8
shocks 1
side 1
sit 1
slams 1
smell 1
snakerocks 1
so 1
soon 1
still 1
stonefur 2
strong 1
struggles 1
struggling 1
successfully 1
sunningrocks 1
suspects 1
swiftpaw 2
tells 2
that 9
the 37
their 2
them 1
themselves 2
then 1
there 2
they 8
this 1
though 1
throwing 1
thunderclan 3
tigerstar 5
to 25
trail 1
traitors 1
try 1
two 1
until 1
up 2
vigil 1
warrior 1
warriors 1
was 1
water 1
were 1
what 1
when 3
while 1
whitestorm 1
who 1
wild 1
will 1
with 5
words 2
worked 1
works 1
you 1
