5200046
/m/0d7h7s
/m/0d7h7s
Louis de Bernières
1990
{"/m/0127jb": "Magic realism"}
a 9
abducted 1
accompanied 1
across 1
adapt 1
after 5
alongside 1
an 4
and 26
antoine 1
are 5
area 1
army 2
asado 2
at 2
aurelio 6
avalanche 1
away 1
back 1
basin 1
battle 1
becomes 1
been 1
below 2
both 1
brought 1
buildings 2
built 1
buried 1
burst 2
by 5
capital 2
capitan 2
caprices 1
cats 1
celebrate 1
centuries 1
change 1
chaos 1
chapters 1
characters 3
chiriguan 4
civilians 1
civilisation 1
civilization 1
clear 1
cliff 1
climbed 1
cochadebajo 1
colonel 2
colonial 1
communist 1
communists 1
conquistadores 1
conquistadors 1
constanza 2
corrupt 1
crops 1
dam 2
de 1
deeply 1
degenerate 1
departure 1
deposited 2
destroys 1
detailing 1
distress 1
divert 1
divided 1
doa 2
don 2
down 1
draining 1
drive 1
driven 1
dropping 1
drought 1
due 1
during 1
earlier 1
earthquake 2
eliminate 1
emmanuel 2
en 1
end 2
escapades 1
event 1
eventually 1
exodus 1
exposed 1
exposes 1
falcons 1
farmland 1
fearful 1
feed 1
fertile 1
fiesta 1
fight 1
figueras 1
flattened 1
flee 1
focus 1
for 3
ford 1
france 1
from 7
gatos 1
given 1
glacier 1
great 1
ground 1
grow 1
guerilla 1
guerillas 1
guided 1
had 4
handsome 1
hardens 1
held 1
her 2
high 1
higher 1
highest 1
his 1
home 1
host 1
hundreds 2
ice 1
in 11
inca 3
indian 2
individual 1
infighting 1
initial 2
involving 1
is 5
it 2
its 1
jaguars 1
journalists 1
journey 2
jungle 2
jungles 2
kidnapped 2
kidnappings 1
killed 1
lakefilled 1
lawless 1
leads 1
letters 1
lies 1
life 2
line 1
lives 1
long 2
longburied 1
los 1
magic 1
magical 1
main 1
majesty 1
masse 1
means 1
men 1
military 2
miraculously 1
mountain 2
mountains 1
mud 4
mudbrick 1
mula 2
murder 1
mysterious 1
named 1
nation 2
navigate 1
necessary 1
new 5
night 1
objectives 1
observe 1
occurs 1
of 19
on 3
order 1
orders 1
ordinary 1
over 2
partially 1
past 1
people 1
perfectly 1
plan 1
plateaus 1
political 1
pool 1
positions 1
premonition 1
preserved 1
promoted 1
provides 1
rampant 1
ransom 1
rape 1
relatives 1
remnants 1
report 1
river 1
rooted 1
several 1
she 1
shortly 1
shown 1
sierraturnedjungle 1
situated 1
slaves 1
spanish 1
spoilt 1
statues 1
stone 1
subsequently 1
subsersives 1
survive 1
swimming 1
systematically 1
takes 1
tenants 1
terraces 1
thanks 1
the 53
their 3
them 1
themselves 1
there 1
they 2
those 3
thousands 1
threatened 1
threeday 1
through 2
thuggish 1
to 20
tortured 1
towards 2
town 6
townspeople 3
travel 1
traverse 1
triggers 1
tropical 1
tsunami 1
under 1
unkindness 1
valley 4
vast 1
whatever 1
when 1
where 1
which 5
who 2
with 1
young 1
