12007193
/m/02vlr4y
/m/02vlr4y
Alice Walker
1970

a 9
after 1
an 1
and 8
arbitrary 1
as 3
away 1
back 1
baker 2
beats 1
becomes 1
bed 1
begins 1
brownfield 5
called 1
cant 1
cottonera 1
county 2
daughter 2
debts 1
deceased 1
declining 1
dew 1
dewey 1
disapproving 1
drop 1
ends 1
eventually 3
family 1
father 1
fields 1
finds 1
follow 1
foot 1
footsteps 1
for 2
from 2
georgia 1
grange 2
he 8
head 1
her 2
him 1
his 3
home 1
house 1
in 4
inn 2
is 4
jailed 1
josie 4
kills 1
knows 2
landowner 1
leaving 1
led 1
life 2
liking 1
lives 1
loan 1
lorene 1
loungebrothel 1
man 1
marries 1
mem 3
meme 1
money 1
more 2
much 1
named 1
new 1
north 3
nose 1
of 1
on 1
only 1
operates 1
owing 1
owns 2
pay 1
place 1
poor 1
printed 1
printings 1
returns 1
runs 1
seven 1
sharecropper 1
sharing 1
sister 1
slave 1
some 1
sometimes 1
start 1
takes 1
the 10
to 7
too 1
under 1
unfulfilling 1
up 3
virtually 1
which 2
white 1
who 2
winds 1
with 1
woman 1
works 2
years 1
