6978236
/m/0gzn1w
/m/0gzn1w
John Updike

a 5
about 1
admits 1
advisor 1
affair 1
aftermath 1
also 1
alternate 1
americans 1
an 2
and 16
another 1
are 2
areas 1
around 1
as 2
attacked 1
authoritative 1
away 1
become 1
been 1
begins 1
behind 1
believes 1
ben 14
bladder 1
book 1
boston 1
business 1
but 1
by 2
cancer 1
cannot 1
central 1
children 1
chinese 1
clash 1
clear 1
clearly 1
collect 1
collection 1
commissions 1
communion 1
companion 1
control 1
cruelty 1
dahlia 2
deal 2
deaths 2
deer 5
deirdre 4
designed 1
devoured 1
did 1
disappears 1
discovers 1
divided 1
doe 1
dollar 1
dollhouse 2
doreen 1
during 1
earnings 1
end 1
england 1
enough 1
entrepreneurs 1
erase 1
establish 1
evidence 1
exchange 1
exploitation 1
expresses 1
favors 1
fedex 2
female 1
five 1
flourish 1
for 4
from 2
garden 3
get 1
ghost 1
gloria 10
goes 1
gone 1
government 1
group 1
has 5
have 2
he 7
helps 1
her 3
hired 1
hires 1
his 6
hospital 1
house 7
human 1
hunter 2
i 2
ii 2
iii 2
impotent 2
impression 2
in 9
influence 1
into 2
investment 1
is 8
iv 2
journal 1
killed 3
killing 1
kills 1
land 1
large 1
leaves 1
left 2
legitimacy 1
less 1
life 1
like 1
local 1
long 1
makeshift 1
many 1
may 1
mdash 2
metallobioforms 1
money 1
more 2
named 1
nature 1
new 1
nibbling 1
not 2
novels 1
now 1
nuclear 1
obsession 1
of 7
on 2
one 1
or 1
other 1
own 1
participate 1
parts 1
people 1
phil 4
physically 1
pictureperfect 1
place 1
portrays 1
prostate 2
prostitute 1
protection 1
protest 1
ravaging 1
raze 1
regains 1
relieved 1
reputable 1
residents 1
retired 1
returns 1
rid 1
role 1
second 1
sees 1
set 2
sexual 1
shoot 1
shoots 1
shot 1
shown 1
slid 1
some 1
spin 3
stay 1
supplant 1
surgery 1
surrounding 1
takes 2
thanks 1
that 4
the 32
their 3
them 1
they 1
this 1
though 1
through 1
thugs 1
time 1
to 6
toward 1
tracts 1
triumph 1
turnbull 1
under 1
uneasiness 1
unhappy 1
universe 1
up 1
used 1
v 2
vague 1
wandering 1
was 1
weapons 1
when 1
which 1
who 5
whom 1
wife 1
with 6
woods 1
working 1
world 1
young 4
younger 1
