1275421
/m/04pbcy
/m/04pbcy
John Gardner
1984
007 1
a 9
able 1
about 1
accused 1
after 1
agent 2
airship 1
allegiance 1
allows 1
along 1
an 2
and 6
are 1
as 2
at 1
attention 1
attract 1
attracts 1
autem 2
background 1
based 1
battles 1
becomes 1
bond 11
british 1
but 2
by 2
camp 1
carlo 1
cia 1
clutches 1
company 1
computer 1
computers 1
creates 1
current 1
death 1
destabilise 1
disgusted 1
dr 1
drummed 1
employers 1
enemy 2
erewhon 1
escape 1
even 1
everything 1
faked 1
false 1
far 1
foiling 1
forcing 1
former 1
fully 1
game 1
general 1
get 1
going 1
has 1
he 2
him 1
his 4
hoax 1
holy 2
however 1
if 1
improprieties 1
in 4
inheritance 1
inside 1
involved 1
is 5
james 1
jay 2
joining 1
just 1
known 1
knows 1
languages 1
large 1
later 2
leader 1
leaders 1
left 1
market 1
miss 1
monte 1
month 1
never 1
novel 1
nuclear 1
of 8
on 3
one 1
onetime 1
open 1
organization 1
out 2
over 1
parachuting 1
payroll 1
pentagon 1
percy 1
periodically 1
places 1
plan 1
plays 1
plot 1
point 1
prior 1
programming 1
proud 1
proving 1
put 1
questioned 1
quite 1
rahani 2
realise 1
reallife 1
receiving 1
representatives 1
resignation 1
rid 1
right 1
role 1
secret 2
see 1
send 1
service 2
services 1
she 1
simulations 1
so 1
soviet 1
spectre 6
spends 1
started 1
states 1
stuff 1
suspect 1
switzerland 1
tamil 1
teaches 1
terrorist 1
that 2
the 13
their 3
them 1
thing 1
this 1
throughout 1
to 11
training 1
union 1
united 1
up 1
vital 1
wars 1
was 1
weapons 1
what 1
where 1
who 3
whole 1
willing 1
with 3
world 1
worth 1
