16097630
/m/03qp33s
/m/03qp33s
Andrew Holleran
2006
{"/m/05hgj": "Novel"}
180s 5
a 38
about 4
abraham 1
accept 1
acquaint 1
across 2
admits 1
ads 1
advice 1
african 1
after 8
ago 1
agree 1
aids 5
album 1
all 1
allowing 1
alone 5
also 5
american 2
analogy 1
and 25
angers 1
animal 1
another 2
any 1
appalled 1
apparently 1
approaches 1
architecture 1
argues 1
argument 1
around 2
arrival 1
arrives 1
art 1
as 12
aspects 2
assassination 1
assuring 1
at 6
atlanta 1
attracting 1
badly 1
baggage 1
basis 1
be 3
beautiful 1
because 2
become 2
been 1
before 2
begins 1
behaves 1
behind 1
belief 1
belligerent 1
beneath 2
beneficial 1
between 2
biscuit 2
bit 1
blacks 1
bless 1
book 3
both 4
boyfriend 2
broken 1
brother 2
buildings 1
business 1
but 5
by 4
can 1
cant 1
capitol 1
carries 1
change 1
character 1
characters 1
choice 1
choices 1
circle 1
city 4
cleans 1
come 1
comes 2
comfortable 1
community 1
company 1
comparing 2
complex 1
conartist 1
concerts 1
confesses 1
confinement 1
considering 2
consists 1
continue 1
continues 1
continuously 1
convinces 1
cooped 1
couple 3
course 1
crucial 1
culturally 1
current 1
currently 1
day 3
days 3
dc 3
dead 2
deal 2
death 3
debate 1
decade 1
deceased 3
decided 1
decides 2
declines 1
deeply 1
departure 2
depressing 1
desperate 1
detail 1
develop 1
did 1
die 1
died 2
difficult 1
dinner 1
discover 1
discovers 1
discuss 5
discussion 2
disease 1
do 1
dog 3
door 1
driven 1
dupont 1
during 7
dying 1
earth 1
effective 1
emotion 3
emotional 1
emotions 1
encounters 2
encourage 1
end 3
ended 1
ends 1
enjoys 3
entitled 1
environment 1
epidemic 3
essence 1
evening 1
events 1
every 1
everyday 1
excuses 1
exist 1
exlover 1
experience 1
explaining 1
explains 2
exploits 1
exploration 1
explore 1
expresses 1
exteriors 1
famous 1
far 2
father 1
feels 5
few 3
fills 1
find 1
finds 2
first 3
firstperson 1
flagrantly 1
flight 1
flipping 1
florida 3
focuses 2
follows 1
fond 1
for 10
forever 1
former 1
frank 6
frequently 2
friend 3
friends 4
friendship 1
from 9
furniture 1
future 1
gay 13
gays 1
getting 1
go 1
god 1
goes 1
great 1
grief 9
grieve 2
grieving 1
grows 2
had 8
handsome 2
happily 1
harbors 1
hardship 1
has 11
have 1
having 3
he 50
help 1
helpful 1
her 9
high 1
highly 1
him 8
himself 5
his 45
holding 1
hollow 1
home 3
homeless 1
homosexual 3
homosexuality 3
homosexuals 1
hope 3
hospital 1
house 5
how 2
however 1
human 1
husband 2
ignorant 1
ill 1
impact 2
in 26
individual 1
individuals 1
instances 1
intellectual 1
interesting 1
introduces 1
involved 1
is 4
issues 2
it 5
journey 1
just 2
keeps 2
knew 1
known 1
lacked 1
lady 1
landlord 13
late 3
later 1
layover 1
least 1
leave 1
leaves 2
leaving 1
left 1
letters 2
level 1
liberating 2
lied 1
life 8
like 1
likes 1
lincoln 5
lincolns 1
link 1
literature 1
live 1
lives 4
living 4
local 4
locals 1
lonely 1
long 1
longer 1
lost 4
lounge 1
loved 2
lug 1
made 1
major 1
man 8
many 3
mary 4
meals 1
meet 1
meets 1
member 1
men 2
mentions 1
metropolitan 1
middleage 1
middleaged 4
military 1
mistreatment 1
mixed 1
money 1
months 1
more 2
morning 1
most 1
mother 10
mourning 2
move 2
moved 1
movie 1
much 1
muscular 1
museum 1
museums 1
must 1
mutual 1
n 3
nameless 2
narrative 1
narrator 22
narrators 2
nation 1
near 1
needs 2
neighborhood 2
never 1
nevertheless 2
new 8
newspaper 1
next 1
nick 3
nicks 1
night 2
no 1
nonexistent 1
not 3
notices 2
novel 3
novels 1
numerous 5
nursing 1
nw 1
observe 1
of 38
off 1
offer 1
on 10
one 7
ones 2
only 1
opens 2
or 2
order 1
orientation 1
other 1
our 1
out 4
over 2
overall 1
overwhelming 1
own 1
pages 2
parents 1
passed 1
pays 1
people 1
permanent 1
personal 3
personally 1
peruses 1
photo 1
picked 1
picking 1
place 2
platonic 1
politician 1
popular 1
population 1
position 4
post 1
pray 1
predominantly 1
prepares 1
previous 1
primarily 1
proceeds 1
process 1
protagonist 4
provides 1
qualities 1
quickly 1
racial 1
rather 2
reads 1
realize 1
realized 1
realizes 2
receives 1
recently 1
reclusive 1
recommended 1
reference 1
refers 1
refuses 1
regrets 1
regular 1
relates 1
relating 1
relationship 1
remaining 1
remains 3
remembers 1
remind 2
reminisces 1
residence 2
residential 1
result 1
return 1
returning 1
returns 1
reveals 1
revolve 1
romantically 1
room 1
roommate 1
scenery 1
schism 1
secret 1
seems 1
serious 1
settled 1
several 1
sexual 1
share 1
she 4
shortly 1
should 1
sidewalk 1
similar 1
simple 1
simply 1
single 1
sitting 1
so 1
social 2
socialize 1
solitude 1
some 1
sons 1
soon 1
specifically 1
spend 1
spending 1
spirits 1
spring 1
stable 1
starts 1
state 1
stating 1
stay 2
still 1
story 1
street 3
streets 1
strongly 1
student 3
students 1
study 3
such 2
suffering 1
suggests 1
survivor 2
take 2
takes 3
taking 1
teaching 4
telling 1
tended 1
tends 1
terminally 1
text 1
than 1
that 4
the 144
their 6
them 4
themselves 1
these 1
they 3
think 1
this 6
thoughts 2
three 1
through 4
throughout 3
time 3
title 1
to 47
todd 4
together 2
town 1
townhouse 1
transition 1
trip 1
true 1
truly 1
tumultuous 1
turn 1
turns 1
two 6
unfortunately 1
university 1
unnecessary 1
up 3
upon 1
upset 1
us 1
used 1
various 1
very 3
veteran 1
viciously 1
victims 1
virus 2
visit 3
waiting 1
walking 1
wandered 1
was 5
washington 5
we 1
weekend 1
weeks 1
well 1
were 1
when 1
which 2
while 3
whites 1
who 8
wife 1
will 4
with 12
work 3
works 1
world 1
worried 1
would 3
written 1
years 1
yet 2
york 1
young 2
