31342635
/m/0gk_wz7
/m/0gk_wz7
Maya Angelou
2002
165 2
168 1
40th 1
a 9
about 1
accepts 1
accident 1
accra 3
act 1
adult 1
african 4
after 1
again 4
agrees 1
aid 1
airplane 1
all 1
also 3
an 1
and 22
angeles 2
angelou 8
another 1
are 1
around 1
arrested 1
arrives 1
as 2
asks 1
assassinated 2
at 3
attended 1
attending 1
autobiography 2
back 3
baldwin 1
be 2
beah 1
become 2
becomes 1
been 1
between 1
bird 1
birthday 1
book 1
broken 1
brother 3
but 3
by 3
caged 1
calls 1
car 1
care 1
career 2
cartoonist 1
challenge 1
challenges 1
childhood 1
children 1
christian 1
city 1
college 1
come 2
commitment 1
conference 1
contacts 1
controlling 1
could 1
country 1
create 1
davis 1
days 1
dedicates 1
dee 1
della 1
described 1
describes 1
desire 1
devastated 2
didnt 1
dinner 1
disappointment 1
diverting 1
does 1
during 2
earlier 1
earn 1
editor 1
ends 2
enlists 1
even 1
extra 1
feiffer 2
first 2
flung 1
for 2
four 1
francisco 2
frank 1
friend 1
friends 1
friendships 1
from 2
gets 2
getting 1
ghana 4
god 1
grandmother 2
griefstricken 1
guy 2
had 3
has 2
hawaii 1
he 2
heaven 1
help 1
her 21
herself 2
him 1
his 8
hurricane 1
i 2
in 10
inspired 1
instead 1
into 2
invited 2
is 6
isolates 1
it 1
its 1
james 1
jr 1
judy 2
jules 1
king 1
know 2
lacks 1
later 1
leadership 1
leaves 1
leaving 1
life 2
like 1
lines 1
literary 1
literature 1
looking 1
loomis 1
los 2
lover 1
luther 1
made 1
malcolm 2
man 1
many 1
market 1
martin 1
maturity 1
me 1
mean 1
meeting 1
mexico 1
money 1
month 1
mother 3
moves 1
my 1
near 1
neck 1
need 1
neighborhood 1
new 2
nightclub 1
nineteenyear 1
not 1
occur 1
of 7
old 1
on 1
once 1
one 1
opening 1
organization 1
ossie 1
other 1
party 1
past 1
people 1
perform 1
personal 1
picks 1
place 1
point 1
postpones 2
powerful 1
previous 2
professional 1
promoting 1
realizes 1
reese 1
relationshipher 1
relationships 1
renews 1
rescue 1
researcher 1
resume 1
return 1
returns 2
richards 1
riots 1
robert 1
romantic 1
ruby 1
san 2
seeing 1
she 18
shoes 1
silvera 1
singer 1
sings 1
so 1
son 1
song 2
southern 2
spent 1
states 1
stay 1
striking 1
swept 1
take 1
takes 1
talent 1
tales 1
that 1
the 19
then 1
there 1
they 1
this 1
though 1
threshold 1
time 1
to 26
travel 1
traveling 1
trip 1
two 1
united 1
unity 1
until 1
up 2
urgency 1
us 1
visit 2
visits 1
watts 2
west 1
what 1
where 3
which 2
who 2
whom 3
why 1
wife 1
with 6
witnesses 1
write 1
writing 3
x 2
years 1
york 2
you 1
