29783610
/m/0fp_tsx
/m/0fp_tsx
Eileen Chang
1955
a 5
and 4
as 1
banquet 1
basic 1
be 2
beckon 1
begins 1
between 1
bonds 1
book 2
bride 1
by 2
carriage 1
chang 1
chinese 1
city 1
cope 1
daughter 1
demands 1
does 1
escorted 1
example 1
fact 1
family 6
flower 1
food 1
for 4
from 1
gold 3
goods 1
government 1
groom 2
harsh 1
help 1
her 2
his 2
hosted 1
house 1
in 4
is 2
later 1
little 1
living 1
members 1
more 1
novel 1
now 1
of 4
part 1
peasant 1
peasants 1
provide 1
reader 1
root 2
shares 1
shortage 1
sister 1
story 1
struggle 1
sustenance 1
tan 3
tells 1
the 14
their 1
there 1
they 1
this 1
to 3
traditions 1
weather 1
wedding 2
where 1
while 2
wife 1
with 4
working 1
would 2
