24124600
/m/07kg_ty
/m/07kg_ty
Hermann Hesse

{"/m/05hgj": "Novel"}
a 18
abandon 1
abandoned 1
abilities 1
about 2
accepting 1
advances 1
affection 1
after 3
aimlessly 1
alone 1
an 1
and 13
another 1
answer 2
any 1
anything 1
arrived 1
arriving 1
artist 1
as 6
asks 2
attempting 1
attempts 1
away 1
barbra 2
be 6
been 2
before 1
begins 2
believes 1
bitter 1
bring 1
but 2
by 3
carefree 1
celebration 1
chapter 1
check 1
childhood 1
ckb 1
commitment 1
consequence 1
conversation 3
convinces 1
could 3
court 1
culminates 1
dance 1
day 3
days 2
decides 1
deknulp 1
departs 1
despite 1
did 1
discharged 1
disgust 1
disillusioned 1
doctor 1
done 1
down 1
dr 2
drinking 1
due 2
during 4
early 2
emil 1
end 2
ends 2
entirely 1
excess 1
existence 1
experience 1
experiences 1
feel 1
final 1
first 1
flick 1
focuses 1
following 2
follows 2
for 3
forest 1
forests 1
freedom 1
friend 2
friends 1
from 7
gains 1
germany 1
gifts 1
girl 1
god 7
goes 1
good 1
greeted 1
grew 1
growing 1
grown 1
had 3
half 1
has 4
have 3
he 24
health 1
hear 1
her 2
hermann 1
hesse 1
him 7
himself 2
his 14
home 1
homesickness 1
hospital 3
household 1
however 2
identified 1
illness 1
in 10
individual 1
instead 2
interactions 1
into 2
is 5
it 1
itknulp 1
joy 1
joyfilled 1
just 1
knew 1
knowing 1
knulp 22
knulpa 1
last 1
latin 1
leave 1
leaving 1
left 4
life 2
little 1
live 1
lives 1
locate 1
machold 1
macholdan 1
make 2
married 1
matters 1
meadows 1
memories 1
mentions 1
my 1
name 1
named 2
narrator 2
nearby 1
neglects 1
never 2
night 2
not 3
novel 2
now 1
nurses 1
of 19
old 2
on 2
once 1
opowieci 1
or 1
out 1
passage 1
past 1
peace 1
peacefully 1
people 2
place 1
places 1
pltrzy 1
point 1
possibly 1
post 1
prepares 1
present 1
previous 1
purpose 2
put 1
questions 2
rather 1
receiving 1
recently 1
recognizing 1
recollections 1
regarded 1
reply 1
requests 1
resists 1
respectable 1
rothfuss 1
scheduled 1
school 1
second 2
section 1
send 1
sense 2
sent 1
servant 1
settled 1
shelters 1
speaks 1
spends 1
spring 2
states 2
stating 1
stonebreaker 1
story 1
successful 1
taken 1
takes 1
tale 4
tanner 3
that 8
the 35
their 1
them 1
these 1
they 1
things 1
third 1
this 3
through 1
time 1
times 1
titled 1
to 19
together 1
told 1
towards 1
town 6
treated 1
unfolded 1
up 1
upon 2
use 1
vagrant 1
view 1
wander 1
wanders 1
waning 1
wanted 1
wasting 1
weak 1
when 1
where 1
which 1
while 1
who 3
why 2
wife 2
will 1
with 7
words 1
world 1
ycia 1
z 1
