24277569
/m/09ggvjd
/m/09ggvjd
Heather Brewer
2010-02-09

31 2
a 9
about 5
accident 1
acquitted 1
after 2
again 2
all 1
allows 1
almost 1
also 1
an 1
and 17
any 1
are 1
arm 1
around 1
article 1
as 3
ask 1
at 5
back 1
bathory 2
beats 1
because 1
been 1
before 1
being 1
best 1
betrays 1
blade 1
blood 1
body 1
book 1
breaks 2
bring 1
bullies 2
but 5
by 5
can 1
celebrate 1
charity 1
come 1
convinces 1
council 1
cratus 1
crypt 1
cuts 1
dablo 5
dad 1
dance 1
day 4
days 1
december 1
destroying 1
dinner 1
do 1
does 1
doesnt 1
dorian 5
dresses 1
duct 1
during 3
eddie 5
elders 1
encounters 1
end 1
ends 2
enslave 1
event 1
everyone 1
exacts 1
except 1
feeding 1
fifth 1
fight 2
fighting 1
finds 5
finish 1
first 1
for 6
freshman 1
friend 2
from 2
garlic 2
get 1
gets 1
go 3
goes 1
going 1
got 1
halloween 1
hand 2
has 1
have 4
he 14
held 1
henry 3
him 8
his 6
hit 1
homework 1
house 2
how 1
human 1
humans 1
if 1
in 2
intent 1
invited 1
is 10
it 1
job 1
joss 8
kill 1
killed 3
killing 3
kills 1
kind 1
knife 1
knows 2
last 4
learn 1
learns 1
lesson 1
lessons 1
life 1
many 1
mcmillan 1
meets 1
move 1
moves 1
multiple 1
nature 1
nearly 2
necessity 1
neck 2
necklace 1
never 3
new 2
not 3
october 1
of 14
off 3
on 8
one 1
only 1
open 1
other 1
otis 8
out 7
over 1
party 1
pays 1
people 1
plans 1
poe 2
poisoned 1
pretrial 2
proficient 1
prophecy 1
put 1
puts 1
questions 1
race 1
required 1
returning 1
returns 1
revealing 1
revenge 1
room 1
rule 1
sacrificial 1
school 6
secret 1
secrets 2
see 2
seen 1
several 3
shares 1
shows 4
since 1
skips 1
slayer 1
snow 2
so 1
society 1
somebody 1
someone 2
started 1
starts 1
still 2
stop 1
story 1
summer 1
takes 1
talks 1
tape 1
taste 1
teach 1
tells 2
thanksgiving 1
that 12
the 25
them 1
then 2
they 1
thinks 1
this 2
those 1
to 24
tree 1
trial 3
tried 1
tristian 1
true 1
uncle 1
unnamed 1
until 2
up 8
vampire 6
vampires 3
vbar 1
vikas 5
vlad 31
wait 1
wants 1
we 1
when 2
who 1
will 3
winter 1
with 5
without 1
word 1
writing 1
wrongly 1
year 1
york 2
