9596383
/m/02pl96w
/m/02pl96w
James Herbert
1974
24 1
a 25
abandoned 2
accompanied 1
according 1
adapt 1
after 2
aided 1
alcoholic 1
alive 1
all 1
an 3
and 17
answers 1
are 4
area 1
areas 1
around 1
art 1
as 6
asks 1
assaulted 1
at 3
attack 3
attacked 3
attacks 4
attempts 1
baby 1
bandage 1
based 1
basement 1
battle 1
become 1
becoming 1
been 2
before 1
being 3
birth 1
bites 2
bitten 3
black 1
bloodied 1
bloody 1
body 1
bombsite 1
brutally 1
but 1
by 12
canal 3
caused 1
cellar 1
chambers 1
child 1
cinema 1
clues 1
comes 2
communicate 1
conclusion 1
contact 1
corpse 1
crawl 1
creature 1
damage 1
daring 1
daughter 1
dead 1
death 1
deaths 1
described 1
devoured 2
die 1
died 1
discovers 1
disease 3
disgraced 1
dismissed 1
doctor 1
dog 1
dogsized 1
each 1
east 1
enquires 1
enters 1
entranced 1
epilogue 1
existence 2
exterminator 4
fact 1
few 2
finds 2
follows 1
forgotten 1
formulated 1
foskins 4
from 1
gas 1
giant 2
girl 2
gives 1
goes 2
great 1
grieving 1
grocery 1
group 2
had 1
hairless 1
hand 1
harris 10
has 1
have 1
he 6
headmaster 1
heads 1
health 3
held 1
her 3
hes 1
hidden 1
him 1
his 3
hospital 1
hours 1
house 2
howard 1
however 1
idea 1
in 8
including 1
increased 1
increasingly 1
indicates 1
infect 1
inflicted 1
injected 1
injustices 1
into 3
introducing 1
investigating 1
is 10
it 2
keep 1
kill 1
killed 1
kills 2
knowledge 1
later 1
lead 1
leader 1
leaves 1
leaving 1
left 1
life 1
litter 1
living 1
lockkeeper 1
london 2
losing 1
lure 1
machines 1
meanwhile 1
meeting 1
minister 3
more 3
mother 2
mr 1
mutilated 1
mysterious 1
name 1
near 1
new 2
next 2
not 1
notices 1
novel 1
now 2
number 1
obese 1
occurs 1
of 22
on 1
one 2
opens 1
origins 1
other 2
over 1
overrun 1
own 1
pack 1
packs 1
past 1
places 1
plan 1
police 1
possible 1
public 2
puppies 1
purge 1
pursuing 1
rat 8
rats 16
reader 1
remains 1
rescues 1
researcher 1
resting 1
resulting 1
results 1
reveals 2
ruminating 1
same 1
school 1
secret 1
seemingly 1
sees 1
set 1
several 1
shadows 1
shop 1
sights 1
size 1
slaughtered 1
smaller 1
smuggled 1
squabbling 1
station 1
stephen 1
strangely 1
student 5
students 1
suddenly 1
surface 1
survived 1
surviving 1
survivors 1
sustaining 1
takes 1
teacher 1
that 7
the 60
their 1
them 1
then 1
there 1
they 1
this 1
thousands 1
time 1
to 18
toxicity 1
trapped 1
tropics 1
tube 1
two 1
ultrasonic 1
ultrasound 1
unprovoked 1
unusually 1
up 1
upon 2
use 1
using 2
vagrant 1
vagrants 1
victims 1
virus 3
visited 1
was 1
waves 1
weeks 1
well 1
were 1
what 1
when 1
where 2
which 3
while 1
white 2
who 2
with 5
work 1
yet 1
young 2
zoo 1
zoologist 1
