845599
/m/03gjgy
/m/03gjgy
Michael Chabon
1995-03-14
{"/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
2611 1
a 3
actress 1
alienated 1
all 1
also 1
an 2
and 5
author 1
awardwinning 1
be 1
bizarre 1
by 2
called 1
chancellor 1
chancellors 1
child 1
collectible 1
college 1
collegesponsored 1
committed 1
crime 1
day 1
dimaggio 1
dog 1
downstairs 1
during 1
earlier 1
eve 1
finds 1
followup 1
gaskell 1
grady 1
happen 1
he 1
her 2
him 1
himself 1
his 5
husbands 1
in 1
involved 1
is 4
it 1
jacket 1
james 1
joe 1
kills 1
land 1
learns 1
leer 2
manuscript 1
marilyn 1
marriage 1
meant 1
mistress 1
monroe 1
monumental 1
named 1
novel 1
of 4
off 1
on 4
one 1
out 1
page 1
party 1
pittsburgh 1
pregnant 1
prized 1
professor 1
published 1
publishers 1
sara 1
seven 1
shoots 1
steals 1
students 1
successful 1
that 2
the 9
things 1
to 5
top 1
tripp 3
two 1
unwieldy 1
walks 1
was 1
weekend 1
which 1
who 1
wife 1
with 1
wordfest 1
working 1
worn 1
writer 1
writers 1
years 1
young 1
