2354077
/m/076103
/m/076103
Arkady Strugatsky

{"/m/06n90": "Science Fiction"}
2156 1
a 12
according 1
aerobus 1
afterwards 1
again 1
agrees 1
all 1
already 1
an 2
and 18
announces 1
another 1
appears 1
approaches 1
are 2
as 4
asks 1
at 3
away 1
back 2
baker 1
banjo 1
be 2
beach 1
becomes 1
before 2
begin 1
behind 2
best 1
blind 1
board 2
both 1
burrowing 1
but 4
by 2
camill 6
can 2
cannot 3
capital 7
carry 1
carrying 1
catastrophe 1
cave 1
charge 1
charybdis 2
children 5
choice 1
choose 1
city 2
clear 1
close 1
closely 1
come 1
consider 1
contacts 1
council 1
crashed 1
crowd 1
decides 1
delivered 1
desperately 1
destroyed 1
destroying 1
developed 1
dies 1
directly 1
director 1
diving 1
documentation 2
dozen 1
empty 1
end 1
enough 1
entire 1
equipment 1
escape 1
evacuation 1
even 2
everyone 2
everything 1
falling 1
far 1
few 1
fiance 2
finds 1
first 1
flee 1
flees 1
flier 2
float 1
fly 1
followed 1
for 5
friends 1
from 4
front 1
gather 1
general 1
give 1
gorbovsky 5
governess 1
has 1
hate 1
having 1
he 5
help 1
herself 1
hide 1
him 5
his 9
hold 1
huge 1
humans 1
ii 3
immediately 2
in 8
into 1
is 7
issued 1
issues 1
it 10
jumping 1
kills 1
kilometers 1
knows 2
last 2
leave 2
leaving 2
leonid 1
lifts 1
like 2
locates 1
machinery 1
make 1
making 1
manages 1
manually 1
mate 1
matvei 1
meanwhile 1
minirockets 1
moment 2
more 1
must 1
nearest 2
new 2
news 1
northern 1
not 1
notices 1
novel 1
now 1
nullttesters 1
observation 2
observer 1
ocean 1
of 10
off 2
ominous 1
on 7
once 1
one 2
ones 1
only 3
onto 1
or 2
orbit 1
order 1
over 1
panic 1
pays 1
people 1
persistent 1
pilot 1
planet 3
plans 1
playing 1
population 1
preceding 1
precious 1
quiet 1
rainbow 4
reach 1
reaches 1
refuses 2
remaining 1
reports 1
returns 1
robert 2
saw 1
scientific 1
scientist 1
scientists 2
seemingly 1
semiautomatic 1
sent 1
sets 1
she 1
ship 2
shortly 1
simple 1
simultaneously 1
since 1
sit 1
situation 1
sklyarov 8
some 2
song 1
soon 1
south 2
southern 3
space 3
spaceship 1
starts 1
still 1
stopped 1
story 1
strikes 1
take 3
tariel 4
tatiana 1
team 1
teammate 1
tells 2
terrified 1
that 9
the 52
their 2
them 1
then 1
therefore 1
they 1
this 3
though 1
time 3
to 22
too 2
toward 1
tower 2
transported 1
tries 1
turchina 3
two 2
type 1
ulmotrons 1
under 2
underground 1
unusually 1
urges 1
valuable 1
very 2
via 1
videophone 1
village 4
visit 1
vyazanitsyn 1
warning 1
was 1
watch 1
wave 9
waves 1
way 1
we 1
well 1
when 3
where 1
while 1
whom 1
whose 1
will 1
wind 1
with 2
witnesses 1
wont 1
works 1
world 1
would 1
