34971264
/m/0j42t4h
/m/0j42t4h
Janusz Korczak


a 6
acquires 1
acts 1
an 1
and 2
as 2
at 1
because 1
becomes 1
book 2
chapters 1
child 1
children 1
chooses 1
contains 1
crossed 1
depicts 1
dissatisfied 1
eventually 1
evil 1
fight 1
first 1
for 2
frightening 1
gains 1
gaps 1
girl 1
good 2
he 3
her 1
himself 1
his 3
home 1
including 1
kajtu 1
kaytek 1
leaves 1
mage 1
magic 1
magical 1
meets 1
mischief 1
of 2
on 1
one 1
out 1
path 1
power 2
powers 1
reputation 1
schoolboy 1
sections 1
selfish 1
some 1
that 1
the 4
they 2
to 1
together 1
too 1
town 1
travels 1
troublemaker 1
uses 1
using 1
were 3
where 1
which 1
who 2
with 1
wizard 1
zosia 1
