33790
/m/08524
/m/08524
Fritz Leiber
1964
160s 1
a 27
aboard 1
achieved 1
addicts 1
advances 1
advertising 1
after 2
again 1
ahead 1
alien 1
along 1
american 1
amounts 1
an 3
and 27
another 1
apparently 1
appear 1
appeared 1
appearing 1
appears 5
are 6
around 1
arrived 1
as 10
astronauts 1
at 5
atlantic 1
attempting 1
avoid 1
back 1
badly 1
base 2
bases 1
battle 3
be 1
becomes 1
been 1
being 4
belong 1
besotted 1
between 1
bizarre 1
bodies 1
both 2
bright 1
brought 1
bunker 1
buries 1
by 6
california 1
calling 1
can 3
captured 1
cars 1
cat 1
catform 1
catlike 1
causes 2
characters 1
charlatans 2
city 1
close 2
coast 1
colored 1
comes 1
companions 1
competing 1
construct 1
consume 2
contempt 1
controllers 1
converted 1
create 1
creature 1
crossing 1
culture 3
days 1
dc 1
death 1
decades 1
deep 1
destruction 2
device 1
devoting 1
disappear 1
disastrous 1
don 7
dreamers 2
drive 1
drug 1
dull 1
earth 5
earthquake 1
earthquakes 2
eclipse 2
effects 1
empty 1
end 1
energy 1
england 1
ensuring 1
enthusiasts 1
eruptions 1
escape 1
escorting 1
evacuated 1
events 2
eventually 2
everybody 1
expedition 1
explains 1
explore 1
faced 1
fall 2
falls 1
feline 1
female 1
few 2
fiance 1
final 2
fleeing 1
flight 1
flying 4
following 1
follows 1
for 2
friend 1
friends 2
from 1
functioning 1
future 1
gained 1
gelhorn 1
give 1
globe 1
goes 1
good 1
gravity 1
gray 1
ground 1
group 2
gun 2
hagbolt 1
hands 1
has 4
have 4
he 2
hear 1
her 9
him 1
his 3
holding 1
holographic 1
however 3
huge 2
human 1
humans 1
hyperspace 3
immortality 1
in 16
influence 1
inhabitants 1
initially 1
instead 1
intellectuals 2
intelligent 2
into 4
is 14
it 3
itself 3
kind 2
land 1
landslide 1
large 1
lead 1
left 1
life 1
like 1
lives 1
longtime 1
lunar 2
main 1
man 1
many 1
margo 4
mars 1
matter 1
meets 1
merriam 3
miaow 4
military 1
mind 1
misfits 2
mission 1
mistake 1
mistakes 1
mitigate 1
mobs 1
monkey 1
monkeybeings 1
moon 9
moonbase 1
more 1
most 1
must 3
near 1
new 8
nonconformists 1
not 1
nothing 1
novel 2
now 1
observatory 1
observe 1
ocean 2
of 28
off 2
on 5
one 3
only 2
operating 1
orbit 1
origins 1
other 2
out 1
over 1
overtake 1
paul 10
people 5
period 1
place 1
placed 1
planet 11
planets 2
point 2
police 2
population 1
position 1
power 1
projection 1
protagonists 1
pull 1
purple 1
races 1
raises 1
realizing 1
referred 1
reflect 1
refuel 1
regarded 1
regards 1
rejects 1
repel 1
rescued 1
reunited 1
roving 1
same 3
saucer 5
saucers 2
scene 1
second 1
seen 1
sending 1
set 1
she 4
ship 5
shortly 1
sign 1
simply 2
skies 2
slowly 1
smuggler 1
solo 1
some 3
somewhere 1
soviet 1
soviets 1
space 2
spaceport 1
spaceships 2
spans 1
spectacular 1
splits 1
still 1
stranger 1
such 1
survive 1
survives 1
symposium 1
take 2
takes 2
telepathic 1
testify 1
testimony 1
that 5
the 70
their 9
them 2
themselves 1
then 3
there 1
they 6
thoughts 1
thousands 1
threatens 1
three 1
through 1
tides 1
tigerishka 8
time 4
tinker 1
to 28
total 1
traverse 1
treatment 1
trial 2
tries 1
triggers 1
trio 1
trying 1
tsunami 1
tsunamis 1
turn 1
two 2
under 1
union 1
universe 1
usa 2
uses 2
vandenberg 1
vietnam 1
view 1
volcanic 1
walk 1
wanderer 4
want 1
warms 1
was 1
washington 1
waves 1
weapons 1
well 1
when 2
where 1
whim 1
who 1
whose 1
why 1
with 10
without 1
written 1
yellow 1
yields 1
york 1
