3307322
/m/094p8m
/m/094p8m
Lloyd Alexander
1982
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/0dwly": "Children's literature"}
a 21
about 2
advice 1
advisors 1
affairs 1
after 1
allowing 1
along 1
although 1
an 1
and 18
are 3
aristocracy 2
aristocratic 2
army 1
artistic 1
as 7
assassin 1
at 1
augusta 1
bard 1
be 2
becomes 1
becoming 1
being 1
benefit 1
blood 1
blustery 1
bombas 2
bombastic 1
book 1
both 1
but 5
by 5
cabal 2
cabbarus 1
cannons 1
captured 1
character 1
children 1
chronicles 1
claims 1
close 1
coldblooded 1
come 1
commander 1
compromise 1
conscientious 1
consort 1
constantine 1
corrupt 1
corruption 1
costs 1
could 3
count 1
countries 1
country 5
cut 1
deal 1
death 1
destiny 1
determine 1
difficulties 1
dragged 1
draw 1
echoes 1
end 1
ends 1
eponymous 1
exile 1
fflam 1
fflewddur 1
fight 2
find 1
first 1
florian 3
force 1
forces 2
foreign 1
foreseen 1
france 2
friend 2
from 3
fullblown 1
gamine 1
general 3
good 1
government 3
graft 1
great 3
guardian 1
hand 1
has 1
have 3
he 5
heart 1
her 5
here 1
him 2
himself 2
his 7
honest 1
how 1
however 1
in 12
internal 1
into 3
invaded 1
involving 2
is 6
just 1
justin 1
kestrel 1
killed 1
killers 1
king 1
known 1
lancers 1
las 2
learning 1
led 1
lieutenants 1
like 2
loaded 1
love 1
master 1
meanwhile 1
meddling 1
men 1
mickle 7
military 1
more 3
musket 1
muskets 1
must 1
need 1
neither 1
nominal 1
not 2
now 2
of 13
off 1
on 1
one 1
own 1
peace 1
people 3
pieces 1
pistol 1
plans 1
populist 1
postpone 1
poverty 1
powers 2
practiced 1
preserve 1
pressing 1
prince 1
princess 1
prydain 1
refuse 1
reign 1
repelled 1
replace 1
representative 1
resistance 2
restore 1
revolutionaries 1
ring 1
rival 1
run 2
salamanca 1
says 1
seen 1
serve 2
service 1
set 2
sets 1
she 2
shot 1
similar 1
simple 1
skeit 1
soldiers 1
solid 1
some 1
soon 1
stranger 1
street 1
subplots 1
suddenly 1
surprised 1
surrender 1
surrenders 1
terms 1
that 4
the 32
their 2
theo 6
there 1
they 1
through 1
time 1
to 17
token 1
told 2
too 1
tradesman 1
traveling 1
treaty 1
triumphs 1
true 1
turns 1
up 5
used 1
villain 1
wants 1
war 3
was 1
wedding 1
westmark 6
which 1
who 1
will 1
with 5
years 1
yet 1
young 1
