7177512
/m/025v8ww
/m/025v8ww
Mary Renault
1962
{"/m/02p0szs": "Historical fiction", "/m/02xlf": "Fiction", "/m/0hwxm": "Historical novel"}
a 5
acropolis 1
additional 1
admires 1
adventures 1
advises 1
advisors 1
affection 1
after 2
agrees 1
aigeus 1
akamas 1
all 1
allied 1
alone 1
along 1
alongside 1
amazons 3
an 2
and 16
another 1
as 1
at 1
athenian 1
athens 4
athletic 1
attack 1
attempted 1
battle 1
bears 2
become 1
been 1
being 1
between 1
book 1
boyish 1
bridetobe 1
bullleapers 1
but 5
by 1
chariot 1
cliff 1
cold 1
combat 1
comes 1
committed 1
conceives 1
continues 2
contrition 1
convinces 1
crashes 1
cretan 1
crete 2
culprit 1
curses 1
days 1
deals 1
decline 1
defeating 1
defend 1
die 1
during 1
earthquake 1
embittered 1
etc 1
euxine 1
expedition 1
expresses 1
falls 1
father 2
fearlessness 1
feeling 1
fight 1
final 2
finally 1
fleeing 1
for 5
frail 1
from 2
fulfilling 1
go 1
going 1
greece 1
has 1
have 1
having 1
he 6
helps 1
her 5
herself 2
him 5
himself 2
hippolyta 6
hippolytus 4
his 14
home 2
hopeless 1
hunt 1
illness 1
in 11
insensitivity 1
instead 1
interests 1
invites 1
is 6
it 2
jealous 1
journey 1
killed 2
kills 1
king 3
kingdom 1
kingship 1
lapiths 1
last 1
late 2
leader 1
leaves 1
like 1
living 1
look 1
love 1
make 1
making 2
marriage 1
marry 1
meet 1
meets 2
motif 1
murder 1
must 2
name 1
no 2
novel 1
now 1
nowgrown 1
of 12
off 1
old 1
on 2
other 1
out 1
pass 1
passion 1
personification 1
phaedra 6
physical 1
pirate 1
pirithoos 2
place 1
preference 1
pressure 1
pride 1
princess 1
qualities 1
queen 1
quickly 1
rape 1
real 1
realization 1
realizes 1
rebellious 1
regarding 1
relations 1
remainder 1
remains 1
rendered 1
repair 1
rest 1
returns 1
roving 1
sacrifice 1
sacrificing 1
scythians 1
secret 1
section 1
secure 1
seems 1
serve 1
several 1
she 3
single 1
skyros 1
slowly 1
son 2
soon 1
spends 1
stroke 1
suffers 1
suicide 2
takes 1
talks 1
that 3
the 24
them 1
there 1
theseus 12
this 2
throttling 1
throws 1
titular 1
to 14
too 2
treats 1
two 2
unable 1
unrequited 1
unsurprisingly 1
vassal 1
visiting 1
ways 1
when 1
which 1
while 1
who 1
wife 2
with 6
wrath 1
years 3
young 1
