30100917
/m/0g58kt_
/m/0g58kt_
John Hawkes


1stperson 1
a 10
after 2
also 1
an 1
and 4
are 1
artificial 1
as 2
at 1
baldness 1
ball 1
be 1
beaten 1
because 1
beset 1
black 2
board 1
boy 1
by 4
call 1
cassandra 4
catalina 1
chapter 1
characters 1
chest 1
clan 1
clear 1
comic 1
commands 1
commit 1
cue 1
daughter 2
devised 1
difficult 1
discover 1
due 1
during 1
edward 1
episodes 1
events 1
eventually 1
exnaval 1
explain 1
fashion 1
father 1
fernandez 3
fiftynineyearold 1
finds 1
first 1
fishermen 1
flashbacks 1
for 1
gay 1
gertrude 1
goaded 1
green 1
harassed 1
has 3
he 4
hide 1
him 1
his 12
if 1
imagined 1
in 6
incestuous 1
ink 1
inseminator 1
is 9
island 3
it 2
kate 1
killed 1
leaving 1
left 2
lieutenant 1
life 1
live 1
lover 2
marriage 1
masquerade 1
may 1
mess 1
more 1
mortician 1
mutiny 1
name 2
narrator 3
navy 1
no 1
nonlinear 1
northatlantic 1
not 1
novel 2
of 7
on 4
one 1
optimistic 1
or 2
other 1
papa 1
perhaps 1
place 1
raped 1
reader 1
real 1
reasons 1
relation 1
scenes 1
second 1
series 2
settles 1
shady 1
shelter 1
ship 1
simply 1
skipper 5
small 1
some 1
soninlaw 2
sonny 1
starfish 1
story 1
strives 1
subsequently 1
such 1
suicide 2
takes 1
tattoed 1
than 1
that 1
the 16
their 1
then 1
though 3
through 1
to 6
told 2
tone 1
tragic 1
tropical 1
understand 1
up 1
us 1
uss 1
usually 1
was 1
we 1
weird 1
when 1
where 2
which 2
whose 1
wife 2
with 2
works 1
wwii 1
