3287848
/m/093h12
/m/093h12
Joan Didion
1970
{"/m/02xlf": "Fiction"}
31yearold 1
4yearold 1
a 17
abbreviation 1
aberrant 1
abort 1
about 1
abruptly 1
accident 1
acquaintances 1
acquiescent 1
acting 1
actors 1
actress 2
affairs 1
after 2
afterwards 1
an 5
and 20
apple 1
as 3
austin 1
barbiturates 1
bars 1
be 1
become 1
becomes 1
bedroom 1
befriended 1
begins 1
being 1
benny 1
benzodiazepines 1
big 1
bisexual 1
blackmailer 1
body 1
book 1
brain 1
breakdown 1
business 1
by 7
bz 4
california 1
car 2
careless 1
carter 5
chancing 1
chapters 1
chemical 1
child 1
childhood 1
children 1
chimeric 1
city 1
coerced 1
compulsive 1
concludes 1
conducted 1
confinement 1
controlled 1
costello 1
course 1
croon 1
daughter 2
death 3
descriptions 1
despite 1
despotic 1
determination 1
didion 1
dies 1
director 1
domineering 1
drinking 1
driving 1
drug 1
drugs 1
during 1
dying 1
eightyfour 1
encounters 1
encouraged 1
ended 1
eventually 1
exboyfriend 1
exclusive 1
exhusband 1
exlovers 1
facts 1
father 2
film 2
followed 1
for 8
freeways 1
frequent 1
friend 2
from 5
further 1
gambling 1
get 2
girl 1
girlfriend 1
goodwin 1
graduating 1
has 1
haunted 1
have 1
having 1
helene 2
her 16
herself 2
high 1
highly 1
his 4
hollywood 2
hospital 1
hotel 1
in 13
include 1
including 1
indicated 1
insinuated 1
institute 1
internal 1
into 1
involves 1
is 4
ivan 2
jail 1
johnny 1
kate 2
keep 1
lang 2
later 1
learn 1
leaves 2
leaving 1
les 2
life 3
looking 1
love 2
loves 1
maria 7
marias 1
marriage 1
means 1
meets 1
men 1
mental 2
mentally 1
met 1
mineral 1
minor 1
model 1
modeling 1
money 1
monologue 1
more 1
motels 1
mother 2
mothers 1
movie 1
moving 1
narration 1
neuropsychiatric 1
neurotic 1
nevada 1
new 2
newly 1
news 1
night 1
nightmares 1
no 1
novel 2
oblivion 1
obviously 1
of 14
on 3
onenight 1
only 1
out 1
over 1
overdoses 1
parents 1
participated 1
partner 1
past 1
person 1
perspective 1
perverse 1
physical 1
planning 1
plausibly 1
playing 1
plunges 1
possession 1
possibly 1
pregnant 1
procedure 1
producer 1
prose 1
protagonist 1
psychological 1
purportedly 1
quadrangle 1
raised 1
reason 1
receives 1
reclusive 1
recounts 1
recovering 1
reminiscences 1
resolved 1
rights 1
roads 1
routine 1
school 1
scruples 1
seconal 1
secondrate 1
sedative 2
seems 1
selfprovoked 1
sexual 1
shattered 1
she 6
shock 1
short 1
significant 1
silver 1
small 1
some 1
soon 1
southern 1
specifically 1
spends 1
splits 1
stand 1
star 1
stay 1
suicidal 1
temporarily 1
tender 1
terse 1
than 1
that 1
the 26
theft 1
thirdperson 1
through 1
to 13
tonopah 1
town 1
traumatic 1
treatment 1
truly 1
typical 1
undergoing 1
unfulfilled 1
up 1
used 1
useless 1
using 1
victim 1
visits 1
visual 1
wandering 1
waters 1
we 1
wells 1
when 1
while 1
who 2
wife 1
with 9
withdraws 1
works 1
wyeth 1
wyeths 2
yearnings 1
york 1
