25801162
/m/09v9b7p
/m/09v9b7p
Erin Hunter

a 11
about 4
accuses 2
after 1
again 2
also 3
and 53
anymore 1
apologizes 1
are 8
as 3
ask 1
asks 1
asleep 1
attack 2
back 2
background 1
barley 29
barn 8
battle 1
be 3
before 1
belong 2
belonging 1
below 2
better 1
bloodclan 2
blows 1
bluestar 3
born 1
breaks 1
brings 1
bush 1
but 7
cant 1
catches 2
cats 9
chew 1
chickens 3
clan 4
clans 4
cleaning 1
cleans 1
cloudy 1
come 2
continue 1
coop 1
crouch 1
day 2
dead 1
death 1
decide 2
denies 1
deserve 1
difference 1
dig 1
discuss 1
distance 1
do 1
does 1
doesnt 4
dog 1
dogs 2
doing 1
door 1
down 2
drink 1
each 1
enjoy 1
escape 1
escaped 1
escapes 1
expedition 1
explains 2
falls 1
farm 2
farmer 1
feeds 1
fight 2
find 3
finds 1
fire 2
firestar 1
fond 1
for 3
friend 1
friendship 1
from 2
funny 1
get 1
gets 1
go 5
goes 1
going 1
good 1
grass 1
greets 1
group 2
had 1
happy 1
have 3
having 1
he 12
hear 1
help 2
her 1
highstones 1
hill 1
him 14
his 7
holding 1
however 1
hunt 2
hunters 1
hunting 1
icicle 1
if 1
immediately 1
in 5
instructs 1
into 2
intruders 1
is 9
it 15
juicy 1
kicks 1
killed 1
kind 1
kindly 1
kits 5
know 1
late 1
later 3
learned 1
leave 2
left 1
lesson 1
let 1
life 2
like 1
liked 1
listening 1
look 1
lost 1
loyalty 1
luck 1
made 1
makes 1
mate 1
maybe 2
meet 1
metal 1
minty 3
misses 1
morning 2
mouse 1
much 1
named 1
names 1
near 1
need 4
neither 1
nest 1
never 1
next 3
night 1
nightmare 1
nods 1
noise 1
nonsense 1
nor 1
not 2
nothing 1
of 10
off 1
offends 1
okay 1
on 7
one 1
only 2
onto 1
other 1
out 4
outside 2
overhears 1
own 1
play 1
plead 1
pounce 2
precious 1
promises 1
protect 1
questions 1
rabbit 1
rain 1
ravenpaw 38
ready 1
relieved 1
reluctant 1
remake 1
remembered 1
replies 1
reply 1
roof 3
run 3
sad 1
save 1
say 2
saying 3
says 6
scratching 1
see 2
seem 2
seen 1
sees 1
servants 1
shocks 1
shows 1
since 2
sleep 3
sleeping 1
snapper 4
sniff 1
snowflake 1
snowing 1
so 2
some 2
soon 1
speaks 1
spottedleaf 2
standing 2
starclan 1
start 2
starting 1
starts 1
steal 1
stick 1
still 1
stop 1
stuck 1
such 1
suits 1
surprised 1
take 2
talking 2
teach 1
teaching 1
telling 2
tells 5
terrified 1
territory 1
tess 2
th 1
that 15
the 54
their 5
them 10
then 6
there 5
thet 1
they 28
theyre 1
theyve 1
think 2
those 1
though 1
three 1
through 1
thunderclan 1
to 36
tongue 1
too 1
top 1
treating 1
troubles 1
try 1
trying 2
turned 1
turns 1
two 1
twoleg 1
twolegs 2
under 1
up 6
used 2
very 2
wakes 4
want 2
warmly 2
was 4
wasnt 1
water 1
welcome 1
welcomes 1
well 1
were 2
when 9
which 1
while 1
whitestorm 2
whose 1
willie 7
window 1
with 2
wont 1
wood 2
word 1
you 1
