25839458
/m/09v1bq2
/m/09v1bq2
Seth Grahame-Smith
2010-03
16th 1
1786 1
1825 1
184 1
1857 1
1860 1
a 33
abolitionist 1
about 2
abraham 5
actor 1
addresses 1
adult 1
after 2
again 3
against 1
alike 1
all 3
allan 1
allow 1
allows 1
ally 1
along 1
also 3
although 1
america 4
american 1
americans 1
an 2
ancestral 1
and 38
ann 1
announces 1
any 1
appears 1
are 11
around 1
arrest 1
arrive 1
arrives 1
as 9
asia 1
assassin 1
assassinated 1
at 6
atrocities 1
attack 2
attacked 2
attend 1
attends 1
auction 1
author 1
back 4
baltimore 1
banishes 1
barn 2
based 1
battle 1
battles 1
be 2
became 1
because 2
becomes 1
begins 3
being 2
belief 1
believing 1
beloved 1
best 1
biography 1
black 1
blood 1
bloody 1
body 1
book 1
booth 4
both 1
brought 1
bthory 1
bull 1
burning 1
business 1
but 6
buy 1
buyer 2
by 10
can 3
capture 1
careers 1
catches 1
century 1
changed 1
chased 1
city 2
civil 3
collapse 1
concentrate 1
confederate 1
confronts 1
conquer 1
continue 1
continuing 1
day 1
daytime 1
deal 1
death 3
debates 2
debt 1
decides 2
declines 1
defeat 2
diaries 1
diary 1
die 1
discovers 1
dose 1
douglas 2
down 3
dream 1
during 1
dutifully 1
early 1
easily 1
edgar 1
elected 1
election 1
eleven 1
eliminate 1
elizabeth 1
emancipation 1
emphasizing 1
encourages 1
end 3
ends 1
enraged 1
enslave 2
epistolarystyle 1
europe 1
eventually 1
ever 1
evil 2
exfiance 1
exist 1
expects 1
explains 2
fact 1
failure 1
family 2
famous 1
farm 1
father 1
fellow 1
fiancee 1
fight 1
finds 1
firm 1
first 2
flatboat 1
fleeing 1
flocking 1
follows 1
food 2
fool 1
for 8
ford 1
forever 1
found 1
friend 2
from 2
funeral 1
gains 1
gets 1
give 1
given 2
go 1
good 1
goods 1
grandfather 1
great 1
guard 1
happy 1
has 1
have 1
he 12
health 1
help 1
henry 15
her 1
here 2
hiding 1
him 3
himself 1
his 18
home 1
homemade 1
homes 1
horror 1
house 5
however 1
humans 1
hunting 1
i 1
if 1
illinois 1
implied 1
in 23
inside 1
instead 2
intend 1
interesting 1
intervention 1
into 2
investigates 1
is 19
it 3
itself 1
john 2
journal 1
jr 1
just 1
kept 1
kill 2
killed 2
kills 4
king 1
known 1
knows 1
labor 1
last 1
later 2
law 1
lawn 1
learn 1
learns 1
leaves 1
left 1
letters 1
life 2
lincoln 35
lincolndouglas 1
live 1
living 1
long 1
loses 1
lures 1
luther 1
manages 1
manner 1
many 2
marries 1
martin 1
mary 1
match 1
mcnamar 2
meets 1
memorial 1
men 1
milk 1
mississippi 1
moment 1
mother 2
mourned 1
murdered 2
named 2
names 1
nancy 1
nation 1
nature 1
nearly 1
new 5
night 2
no 1
nomination 1
north 1
not 2
now 1
number 1
nurses 1
of 27
offers 1
office 1
ohio 1
old 2
on 4
once 1
one 1
only 2
onto 1
orleans 1
other 1
others 1
out 2
outcry 1
over 1
owners 1
part 1
party 1
personal 1
plantation 1
play 1
poe 4
political 1
poorly 1
possible 1
powers 1
president 2
presidential 1
previous 1
proclamation 1
public 1
publicity 1
pursuits 1
raise 1
rally 1
rather 1
real 1
receives 1
reelection 1
refuses 1
repay 1
reports 1
representatives 1
republican 1
respect 1
responsible 1
result 1
returns 1
river 2
run 1
runs 1
rutledge 1
salem 1
same 1
saved 1
scourge 1
secession 1
secret 1
seek 2
sell 1
senate 1
sends 1
senses 1
seward 1
sharpening 1
shocked 1
shunned 1
sickness 1
slave 5
slavery 1
slaves 3
slayer 1
sneaks 1
so 2
some 3
son 2
source 1
south 4
southern 2
speak 1
speech 1
spending 1
spends 1
springfield 1
stake 1
stands 1
start 2
starts 1
starve 1
states 3
stephen 1
sturges 2
succumbed 1
such 1
summer 1
summons 1
system 1
takes 1
tells 1
term 1
that 17
the 66
theater 1
their 4
them 4
then 1
they 4
this 3
thomas 3
tide 1
time 2
tinged 1
to 46
todd 1
told 1
toll 1
too 1
track 1
tracks 1
trade 1
tragedy 1
train 1
travel 1
triggers 1
troops 2
truth 1
turn 3
unchecked 1
union 2
united 2
unwilling 1
up 1
us 2
used 2
vampire 15
vampires 18
vampirism 1
victim 1
victims 1
virginia 1
vows 1
wake 1
war 5
warns 1
washington 2
way 1
what 1
when 2
where 1
which 1
while 1
white 5
who 2
wilkes 1
will 3
william 1
willy 2
with 4
witnesses 1
word 1
writes 2
written 1
year 2
years 2
york 2
young 2
