8708185
/m/027frdy
/m/027frdy
Jonathan Freedland

36 4
a 13
about 3
absurd 1
according 1
across 1
acts 1
also 1
although 1
always 1
an 1
and 6
another 1
are 4
as 6
attribute 1
away 1
barons 1
based 1
be 6
been 2
being 2
believe 1
book 1
both 1
bring 2
brings 1
brooklyn 1
but 2
by 5
cabin 1
call 1
can 1
case 1
centre 1
chosen 1
christian 1
church 2
city 1
clues 1
coming 1
common 1
community 1
conclusion 1
conditions 1
connect 1
continues 1
crown 1
current 1
danger 1
day 1
dead 2
death 1
described 3
disrupted 1
do 2
done 2
drug 1
employees 1
enlisted 1
even 1
existence 1
fact 1
faction 1
factors 1
far 1
finds 2
fit 1
focuses 1
folk 1
folklore 1
for 1
forfeited 1
found 1
freak 1
friends 1
from 2
further 1
gets 1
globe 1
god 2
grave 1
happen 2
has 1
hassidic 1
have 4
he 4
heights 1
hence 1
here 1
himself 1
his 3
hold 1
humane 1
ie 1
in 8
into 1
investigation 1
is 8
isolated 1
it 2
jesus 1
jewish 2
jews 2
judgement 1
kidnapped 2
killing 2
killings 2
knew 1
know 1
lead 1
led 1
less 1
life 2
log 1
man 2
may 1
men 4
middle 1
militia 2
monroe 2
more 1
mundane 1
murder 1
murdered 2
murders 2
mysterious 1
name 1
new 1
normal 1
not 3
nothing 2
notion 1
ny 1
of 10
old 1
on 6
one 1
only 1
or 2
others 1
out 4
people 2
perform 1
pimp 2
pimps 1
plot 1
real 1
reborn 1
recently 1
religious 1
removed 1
replacement 1
report 1
reporter 1
reporting 1
rests 1
righteous 5
role 1
rookie 1
running 1
seattle 1
second 1
seem 1
seems 2
sent 2
series 1
several 1
shared 1
should 1
so 2
some 1
something 1
soon 1
source 1
spared 1
story 4
than 1
that 7
the 29
their 1
them 1
themselves 1
then 1
theology 1
these 3
they 7
this 2
time 1
times 1
title 1
to 13
together 1
trying 1
turn 1
turns 2
twists 1
unethical 1
victim 1
victims 1
want 1
way 1
weather 1
were 1
what 5
when 1
where 1
while 3
whilst 1
who 3
why 1
wife 2
will 5
with 2
without 1
world 3
would 1
york 1
