344570
/m/01yk6x
/m/01yk6x
Nathanael West
1939-05-16
{"/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
a 7
above 1
advantage 1
an 2
and 5
artist 1
as 3
aspiring 1
at 1
background 1
between 1
book 2
businessman 1
but 1
cocks 1
costume 1
cowboy 2
designer 1
ends 1
extra 1
falls 1
faye 3
fighting 1
follows 1
friend 1
friends 1
greener 1
hackett 1
hangerson 1
hapless 1
he 2
hills 1
himself 1
his 3
hollywood 2
homer 1
in 5
including 1
interacting 1
introduction 1
is 2
keeps 1
lives 2
love 1
man 1
mexican 1
movie 1
movies 1
named 1
nearby 1
numerous 1
of 2
painter 2
premiere 1
riot 1
simpson 1
soon 1
starlet 1
studio 1
studios 1
taking 1
the 5
thinks 1
to 1
tod 1
who 5
whom 1
with 3
work 1
works 2
young 1
