9627038
/m/02pm9pc
/m/02pm9pc
Lucy Maud Montgomery
1937
{"/m/0dwly": "Children's literature"}
a 20
about 3
accepted 1
adopt 2
adventures 1
affected 1
after 1
again 1
against 1
alive 1
all 2
allow 1
alone 1
also 3
an 3
and 23
anything 1
arrives 1
arriving 1
as 3
asking 2
assures 1
astonished 1
at 2
aunt 3
awakens 1
away 2
backbone 1
barn 1
be 5
becomes 1
been 1
believes 1
best 1
birthplace 1
boardinghouse 1
book 2
boston 2
burned 1
but 4
buy 2
by 3
called 1
can 1
catches 1
child 1
circus 1
cold 1
command 1
consideration 1
convinced 1
cook 1
could 1
counts 1
daughter 1
day 2
days 1
dead 1
decide 1
disapproving 1
discovers 1
dislike 1
distinguish 1
divorce 2
does 1
door 1
down 1
during 1
eagerly 1
edward 1
ends 1
endures 1
enough 1
escape 1
escaped 1
estranged 1
eventually 1
falls 1
family 3
far 1
father 11
fearlessly 1
finding 1
finds 1
first 2
following 1
for 6
friend 1
friends 2
from 8
gains 1
garland 2
get 2
goes 1
going 4
good 1
grandmother 8
had 1
half 2
happily 1
has 2
have 3
having 1
he 4
her 42
hill 3
him 2
his 1
home 2
house 2
housekeeper 1
if 1
ignoring 1
in 9
including 1
initially 1
instant 1
irene 2
is 14
island 8
it 3
james 1
jane 26
jealous 1
jimmy 1
jody 4
john 1
johns 1
josephine 1
journey 1
knows 1
ladies 1
lantern 3
leave 1
leaves 1
less 1
letter 3
like 1
likely 1
likes 1
lion 1
little 1
live 2
lives 2
living 1
locking 1
love 1
loves 2
making 1
many 1
marriage 1
meantime 1
meet 1
meets 2
miles 2
months 1
morning 1
mother 9
much 1
named 1
neighbors 1
never 1
news 2
next 2
no 1
not 3
of 7
on 9
one 3
only 1
ontario 1
or 1
orphan 1
orphanage 1
out 2
over 2
pair 1
parents 4
plans 1
pneumonia 1
pocketmoney 1
practice 1
prince 1
probably 1
promising 1
publishers 1
receives 1
reconciled 1
relationship 1
reluctant 1
remarry 2
return 4
returned 1
returning 1
reunited 2
robin 2
role 1
rough 1
say 2
saying 1
says 1
see 2
selfpossession 1
sends 1
sent 2
separated 1
servant 1
sets 1
she 9
shocked 1
short 1
sight 1
sister 1
sisters 1
sleepless 1
snowbeam 1
so 1
some 1
soon 2
sour 1
spend 1
stand 1
start 2
station 1
stay 2
staying 1
strict 1
stuart 1
such 1
summer 3
takes 2
talks 1
telegram 1
tells 1
that 9
the 31
them 1
then 3
they 2
though 1
thousand 1
three 1
ticket 1
time 2
titus 1
to 31
told 1
toronto 5
train 1
turner 1
two 2
uncles 1
until 1
up 2
upon 4
uses 1
very 2
victoria 2
visit 1
walks 1
want 1
was 1
went 1
wet 1
when 3
who 4
why 1
will 4
wishes 1
with 8
works 1
would 1
writes 1
year 1
