69919
/m/0j5mn
/m/0j5mn
Marcel Proust
1913
{"/m/012jgz": "Autobiographical novel", "/m/02xlf": "Fiction"}
114 1
116 1
a 90
abetted 1
able 1
about 12
abruptly 1
absence 1
absent 1
academic 1
accepted 1
accident 1
account 1
accumulated 1
accurate 1
accuses 1
accustomed 1
acquainted 1
acting 1
activities 1
actress 5
acts 1
actually 1
admired 1
admires 2
admiring 1
admit 1
admits 3
adolphe 1
adolphes 1
adopted 1
advice 1
afar 1
affair 6
affairs 2
affection 1
affects 1
affinity 1
affording 1
after 8
afterwards 1
again 3
age 1
aging 2
agrees 3
aid 1
aided 2
aime 3
albertine 25
albertines 3
all 4
allow 1
allowed 1
almost 2
along 1
alongside 1
also 5
alter 1
although 4
ambitions 1
amiable 1
amid 1
among 2
amoral 1
amusing 1
an 25
analyzes 1
and 187
andre 10
anguished 1
annoyance 1
another 4
answering 1
anyway 1
apartment 2
appearance 1
appearances 1
appears 1
appreciates 1
approaching 1
are 12
area 3
arguments 1
aristocratic 4
arms 1
around 1
arrange 1
arrangements 1
arranges 1
arrive 2
arrives 6
arriving 1
art 6
article 1
artistic 1
artists 1
as 24
aside 1
ask 4
asked 1
asking 1
asks 2
aspect 1
assure 1
asunder 1
at 28
attained 1
attempts 1
attend 2
attending 3
attends 2
attitude 1
attracted 3
aunt 4
autocratic 1
avoid 3
avoids 1
awakens 1
aware 2
awed 3
awkward 2
awkwardness 1
back 5
baggage 1
balbec 7
band 1
barely 2
baron 3
barons 1
base 1
be 10
bearing 1
beautiful 3
beauty 4
became 1
become 6
becomes 5
bed 2
been 3
befriends 3
begin 3
begins 3
begs 1
behavior 1
behind 1
being 5
believes 1
bergotte 4
bergottes 1
berma 3
beside 2
best 1
betrayals 1
better 1
between 4
biche 2
blackout 1
bloch 6
blueblooded 1
bombed 1
bontemps 2
book 2
books 1
bored 1
both 5
boxes 1
boy 2
break 2
breaks 1
brichot 3
brichots 1
broken 1
brothel 3
brother 1
business 1
but 40
butt 1
by 29
cake 1
call 2
calls 1
cambremer 1
cambremers 3
can 2
cancel 1
cancels 1
captivated 2
captive 1
carries 1
causing 1
caustic 1
celebrated 3
centered 1
chagrin 1
champslyses 2
changed 1
changes 1
changing 1
character 2
charles 2
charlus 26
charluss 5
chatting 1
chauffeur 3
child 1
childhood 1
church 2
circle 1
citizen 1
claiming 1
claims 1
clan 2
clans 1
climbing 1
close 1
closes 1
colleague 1
colorful 1
combat 1
combray 6
come 4
comes 1
comforts 1
comments 1
committed 1
commonalities 1
company 1
compares 2
completely 1
composer 2
conceal 1
concealed 1
concert 1
concludes 1
confesses 1
connected 1
connections 1
considered 1
considers 1
constant 1
contact 1
containing 1
contemplates 1
content 1
continues 2
control 2
conversation 3
convince 2
convinces 2
correct 1
cottard 2
could 3
country 5
countryside 1
courtesan 1
courtyard 1
courvoisiers 1
cousins 1
crazed 1
cream 1
create 1
crecy 1
critiques 1
crowd 1
cruelty 1
customers 1
dark 1
darkhaired 1
daughter 6
day 7
daydreams 1
days 3
de 41
dealing 1
death 3
decides 3
deciding 1
declines 1
deepening 1
demands 2
denies 2
departs 2
departure 2
depends 1
deprived 1
derivation 1
describe 2
describes 4
describing 1
description 1
descriptions 1
