29195509
/m/0gg8g_1
/m/0gg8g_1
Fritz Leiber

{"/m/06n90": "Science Fiction"}
a 4
acquaintances 1
all 1
also 1
american 1
an 1
and 7
are 1
around 1
as 1
at 1
been 1
both 1
burns 1
by 1
charms 3
clippings 1
college 1
confronts 1
conservative 1
convince 1
counteract 1
day 1
dirt 1
discovers 1
dressing 1
evidence 1
faith 1
finds 1
fingernail 1
from 1
goes 1
graveyard 1
had 1
hair 1
he 4
her 6
his 1
husband 1
immediately 1
in 1
is 3
luck 1
magic 1
manages 1
meddling 1
neurosis 1
norman 2
now 2
of 7
one 1
other 2
packets 1
powerless 1
professor 1
protected 1
realizes 1
result 2
rummaging 1
saylor 1
she 1
small 1
sociology 1
sour 1
spells 1
superstition 1
table 1
tansy 4
that 3
the 3
their 1
them 1
they 1
this 1
through 1
til 1
to 2
up 1
upandcoming 1
vials 1
while 1
wife 1
witch 1
witchcraft 1
witches 1
young 1
