2127254
/m/06n_45
/m/06n_45
David Gemmell
1993
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
a 21
abandon 1
accidentally 1
advance 1
against 1
alone 1
along 1
also 1
ambushed 1
an 2
and 38
archer 1
are 3
army 2
arrive 2
as 4
assassinate 1
at 2
attack 1
attacked 1
attempt 2
attempts 2
avenge 1
away 2
awkward 1
axe 2
back 2
badly 1
banishes 1
bardan 1
battle 3
battleaxe 1
be 2
becomes 1
been 4
before 1
begins 1
besiege 1
bodasen 2
bodyguard 1
break 3
breath 1
bring 1
brutal 1
but 9
by 10
cajivak 4
cannot 1
captured 1
career 1
catching 1
caught 1
chopping 1
collan 3
comes 2
commits 1
companions 1
concerned 1
conclusion 1
day 1
deals 1
death 1
defeated 1
defend 1
delnar 1
demon 4
desperate 1
despite 1
dies 1
distant 1
dock 1
drenai 6
druss 27
dungeon 1
during 4
dying 2
earl 1
elite 1
emperor 1
empire 1
en 1
enough 1
enslaves 1
ensues 1
epilogue 1
erased 1
escaping 1
eskodas 1
events 1
eventually 1
everyone 1
evil 1
face 1
fail 1
fails 1
falls 1
family 1
famous 1
father 1
fetch 1
fierce 1
fight 1
fighting 2
find 3
finding 1
first 1
fleeing 1
for 1
forced 1
forces 1
former 1
found 1
free 1
friend 2
from 6
furious 1
general 1
go 1
goes 1
going 2
gone 1
gorben 7
grandfather 1
group 1
harbouring 1
harib 3
has 12
have 4
he 15
heart 1
help 1
her 8
him 3
his 12
hold 2
home 2
honourable 1
however 1
hunter 1
hunting 1
hurt 1
husband 1
idea 1
ill 1
immortals 3
impressed 1
imprisoned 1
in 22
initially 1
inspirational 1
interrogating 1
into 1
invades 1
is 21
it 5
jealous 1
join 2
ka 3
kill 3
killed 2
kills 4
knew 1
land 1
last 1
late 1
launch 1
leadership 1
leading 1
learned 1
learns 4
led 1
life 2
long 1
loses 1
lover 1
mad 1
man 1
manage 2
married 2
mashrapur 2
master 1
materialise 1
meanwhile 1
meet 1
meets 2
memory 2
men 1
mercenaries 1
mercenary 1
michanek 6
midforties 1
misfit 1
morale 1
mortally 1
mounted 1
moves 1
mystic 1
mystical 1
naashanite 1
naashanites 3
neighbouring 1
netherworld 1
never 1
next 1
night 1
niobe 2
not 2
of 14
officers 1
old 1
on 1
only 2
onto 1
or 1
order 1
out 2
own 2
party 1
pass 3
past 1
persuade 1
pirates 1
point 1
poison 1
port 1
possessed 1
powers 2
presence 1
presumed 1
priest 2
prisoner 1
process 1
promotes 1
pursue 1
raid 1
raise 1
realised 1
reappears 1
rebels 1
reclaim 1
reconcile 1
recover 1
recovers 2
recruited 1
regaining 1
reinforcements 1
removed 1
rescue 2
rescues 1
rescuing 1
result 1
return 1
returns 1
river 1
rout 1
route 1
rowena 9
sail 1
save 1
saved 1
seems 1
sees 1
sent 1
serve 1
set 1
setting 1
shadak 4
she 7
ship 2
sieben 9
siege 2
since 1
skeln 3
slavers 2
snaga 6
so 1
socially 1
soldier 1
soldiers 1
son 1
source 1
spirit 1
stayed 1
stolen 1
stop 1
story 1
strength 1
stronghold 1
succeed 1
succeeds 3
suffering 1
support 1
surprise 1
survives 1
swordsman 1
taken 1
takes 1
tells 2
thanks 1
that 12
the 60
them 2
then 2
these 1
they 5
thinking 1
this 3
time 1
to 42
together 1
told 1
transported 1
travelling 1
travels 1
trick 1
troops 1
under 1
unprepared 1
up 2
use 1
varsava 2
ventria 3
ventrian 2
ventrians 1
venture 1
village 3
vows 1
wandering 1
war 4
warlord 1
was 2
wastes 1
weapon 2
when 2
where 1
which 1
while 1
who 6
wife 1
will 2
win 1
with 7
without 1
witness 1
wood 1
would 2
wounded 2
