20671893
/m/051yc_c
/m/051yc_c
Manlio Argueta
1980
a 7
adolfina 4
advice 1
after 2
against 1
and 5
as 2
at 2
authorities 2
away 1
beaten 2
became 1
become 1
being 1
bring 1
bus 1
but 1
by 1
can 1
cathedral 1
chalatenango 1
christian 1
conditions 1
day 1
denies 1
disappeared 1
do 1
does 1
during 1
economic 1
el 1
end 1
events 1
family 2
farmers 1
fearing 1
for 2
granddaughter 1
guadalupe 4
guardado 2
had 1
has 2
he 1
helio 1
her 4
hills 1
him 1
his 3
husband 3
in 4
involved 1
is 3
jos 3
justino 1
killed 1
knowing 1
landowner 1
leader 1
little 1
lives 1
lupe 1
man 2
massacre 1
middleaged 1
name 1
near 1
not 1
novel 2
of 2
on 2
opposition 1
organization 1
persecution 1
previous 1
prior 1
protest 1
rebellion 1
recognize 1
recognizes 1
regularly 1
relays 1
required 1
said 1
salvador 1
salvadoran 1
sees 1
severely 1
she 3
son 1
soninlaw 1
stays 1
students 1
support 1
taken 1
the 14
their 1
to 4
was 1
wealthy 1
well 1
what 1
while 1
who 2
woman 1
work 1
works 1
