9648947
/m/02pn2bl
/m/02pn2bl
Lee Child
2003-05-13
a 6
accomplished 1
actually 1
after 1
and 3
apparent 1
as 2
back 1
battle 1
be 1
becomes 1
between 1
book 2
boy 2
bring 1
but 1
capable 1
child 1
climactic 1
conceal 1
dea 1
down 1
due 1
encounters 1
eventually 1
fact 1
fashion 1
father 1
first 1
foe 1
foot 1
foresight 1
from 1
gaining 1
giant 1
gunfire 1
hand 1
have 1
he 1
him 1
in 4
initially 1
is 7
it 1
jack 2
kidnap 1
lee 1
little 1
luck 1
masterpiece 1
mayhem 1
merely 1
most 1
not 1
novel 1
obligatory 1
of 2
on 1
only 1
opponents 1
order 1
ordinary 1
original 1
penultimate 1
person 1
place 1
planning 1
presents 1
reacher 5
reader 1
second 1
setup 1
steroidenhanced 1
taken 1
teenage 1
tension 1
that 2
the 13
these 1
this 3
to 4
treated 1
treating 1
treats 1
upper 1
way 1
well 1
who 1
with 2
working 1
written 2
