17549049
/m/04g229_
/m/04g229_
Jim Thompson
1957
{"/m/0lsxr": "Crime Fiction"}
6 1
a 6
about 1
activities 1
alibis 1
also 1
although 1
and 1
are 1
as 2
ashton 1
bastard 1
been 1
before 1
bobbie 1
businessman 1
but 1
by 2
characters 2
city 1
confesses 1
confrontation 1
crime 1
dead 1
devore 1
did 1
die 1
down 2
during 1
earnings 1
establish 1
even 1
fallen 1
few 1
finally 1
financially 1
flight 1
found 1
from 4
future 1
gossip 1
gradual 1
happens 1
has 1
having 2
he 1
her 1
him 1
hoard 1
hours 1
husband 1
immediately 1
in 1
inhabitants 1
involved 1
is 2
its 1
keeps 1
killed 1
local 1
located 1
loss 1
luane 6
manduwoc 1
mixedrace 1
money 1
morally 1
murder 1
new 1
not 1
notably 1
numerous 1
of 5
offspring 1
pavlov 1
person 1
pete 1
potential 2
psychotic 1
pushed 1
ralph 1
relation 1
resort 1
revealed 1
ruined 1
scramble 1
seaside 1
seedy 1
small 1
spread 1
stairs 2
suffering 1
suspected 1
suspects 2
that 1
the 9
their 1
third 1
to 2
tourist 1
town 2
trade 1
trainride 1
ultimately 1
unintentionally 1
viewed 1
was 2
when 2
whose 1
york 1
