216750
/m/01fqzc
/m/01fqzc
Anthony Trollope
1861
a 8
accept 1
addition 1
against 1
agrees 2
ambitions 2
and 10
another 1
archdeacon 2
are 1
arrived 1
as 2
ask 1
at 1
bailiffs 1
barsetshire 1
be 1
beautiful 1
becomes 1
begin 1
begins 1
being 1
between 3
bishop 1
blunder 1
book 1
but 2
by 1
career 1
characters 1
charity 1
childhood 1
choose 1
coldly 1
come 1
comic 1
condition 1
conduct 1
confiscate 1
connections 1
consequences 1
county 1
couple 1
crawley 1
curate 1
daughter 1
daughters 1
deals 1
debtor 1
declines 1
deeply 1
determination 1
doctor 1
does 1
doting 1
dumbello 1
dunstable 1
end 1
ends 1
engaged 1
eponymous 1
especially 1
even 1
eventually 1
family 1
fears 1
for 1
forces 1
forms 1
framley 2
friend 1
furniture 1
further 1
grantly 4
great 1
griselda 2
guarantee 1
gulf 1
hands 1
has 2
have 1
he 2
heiress 1
her 4
hero 2
herself 1
high 2
his 3
honour 1
humiliated 1
in 9
insignificant 1
instead 1
into 1
involve 1
is 6
it 1
josiah 1
knows 1
lady 3
ladyship 1
last 1
latter 1
line 1
living 1
loan 2
local 1
lord 6
love 1
lucy 5
ludovic 2
lufton 8
major 1
man 1
mark 6
marriage 3
marriages 1
martha 1
matrimonial 1
means 1
member 1
minor 1
moment 2
mother 2
mr 1
mrs 2
newly 1
not 1
notorious 1
novel 1
of 14
on 2
only 1
other 2
outspoken 1
over 1
parliament 1
parsonage 1
persists 1
play 1
plot 2
poor 1
positions 1
preceding 1
prefer 1
preyed 1
proposes 1
proudie 2
publicly 1
recognizes 1
reluctant 1
resolve 1
rivalry 1
robarts 2
role 1
romance 1
seek 1
series 1
she 2
significant 1
sister 1
social 1
society 1
son 2
soon 1
sowerby 2
subplot 1
substantial 1
such 1
that 5
the 30
their 2
these 1
this 1
thorne 1
though 1
three 1
through 1
to 9
too 1
towards 1
triumphant 1
two 1
upon 1
vanquishes 1
vicar 1
village 1
weaken 1
weakness 1
well 1
when 2
which 1
with 4
would 1
young 2
