31649198
/m/0gmg7l0
/m/0gmg7l0
Sara Shepard

17th 1
a 16
affair 2
after 2
ali 1
also 2
and 8
ap 1
apparent 1
argument 1
aria 7
at 2
back 1
before 1
birthday 1
boyfriend 2
brother 1
bulimia 1
by 2
byron 2
calls 2
can 1
cheating 1
cure 1
deals 1
downturn 1
ella 1
emily 5
ends 1
english 1
ezra 1
father 2
fears 1
fields 1
force 1
from 2
hanna 4
hastings 1
heated 1
her 11
hit 1
homosexuality 1
house 1
humiliated 1
ignores 1
in 1
into 1
is 7
it 1
jumbled 1
keep 1
kicks 1
killed 1
kissing 1
knew 1
knows 2
later 1
maya 2
meet 1
mess 1
mona 1
montgomery 1
mother 1
much 1
not 1
number 1
of 2
on 2
one 1
out 1
parents 1
party 1
path 1
pictures 1
playground 1
police 1
program 1
publicly 1
pushing 1
receives 1
receiving 1
recognizes 1
relationship 2
remembers 1
resuming 1
reveals 1
romantic 1
rosewood 1
saying 1
school 1
sean 1
secret 2
sends 1
she 6
social 1
special 1
spencer 3
spot 1
stone 1
story 1
suv 1
teacher 1
tell 1
tells 1
text 2
that 1
the 6
their 1
them 2
this 1
threats 1
time 1
to 5
too 1
tries 1
what 1
while 1
who 4
with 4
