21086525
/m/05c22s5
/m/05c22s5

2008-12-30
{"/m/03mfnf": "Young adult literature"}
a 14
accidentally 2
afraid 1
after 5
again 1
agree 1
air 1
all 3
also 4
always 2
amazing 1
an 3
and 26
another 1
anymore 2
apart 1
are 7
around 3
as 8
ashlynn 1
asks 1
at 11
awkward 1
back 1
bad 1
be 6
because 7
become 1
been 1
begin 1
being 6
believes 1
besides 1
better 1
bonds 2
book 2
both 6
boys 1
bracelets 2
bumps 1
but 8
by 2
camera 1
camp 1
can 1
cannot 1
cant 1
caring 1
cashmere 1
center 1
chinese 1
classes 1
close 1
closet 1
clothes 2
coming 1
competitions 2
complete 1
completely 1
conversation 1
cool 4
crew 3
crush 1
cute 1
day 6
days 1
decide 2
definitely 1
despite 1
different 1
discover 1
disguised 1
dismay 2
do 1
doesnt 1
doing 1
dropped 1
drops 1
due 1
during 2
each 5
eat 1
embarrassed 1
emma 30
end 1
ends 1
enough 1
even 1
every 1
everyone 3
except 1
exchanges 2
excited 2
expects 1
extremely 2
family 1
fashion 1
fashionable 1
fashionista 1
fatal 1
few 1
fight 1
finally 3
first 6
fish 1
fit 1
football 1
for 12
forget 1
friends 6
friendship 1
from 2
front 1
furious 1
gecko 1
genius 1
getting 1
giant 1
girl 4
go 1
goes 2
going 2
good 1
grade 1
group 2
guy 1
had 1
hand 2
has 3
have 5
having 1
heard 1
hector 1
help 1
her 22
herself 1
hideous 1
him 2
homeroom 1
hopes 1
however 3
huge 1
identical 1
identities 1
immediately 1
in 11
inner 1
intellectual 1
intelligence 1
intelligent 4
interact 1
into 1
invites 2
iphone 1
is 13
isnt 2
it 1
james 2
janitor 1
jazmine 8
joins 1
kind 2
learn 1
learned 1
leave 1
lesson 1
letter 1
life 1
like 6
likes 2
liking 2
little 1
live 1
look 1
love 1
loves 1
lunch 2
mad 2
make 1
makes 2
mall 2
many 1
matching 1
mean 1
meeting 1
meets 2
mic 1
mills 1
mistake 1
more 3
most 2
mother 1
name 1
nearly 1
never 3
new 1
nice 1
nicest 1
no 3
not 3
numbers 2
of 13
on 9
one 5
opposites 1
optimistic 1
or 1
other 7
out 6
outfits 1
over 2
own 1
ox 5
parents 2
payton 27
people 1
pep 4
phobia 1
phone 2
picks 1
place 1
places 3
players 1
points 1
popular 4
presents 1
prior 1
private 1
priya 1
public 1
punished 1
quarrel 1
quinn 3
rally 4
realize 3
realizing 1
really 4
reasons 1
receive 1
redeems 1
reporter 1
reputation 1
reserved 1
restaurant 1
revealing 1
row 1
say 1
schedule 3
school 10
seat 1
seats 1
secret 1
see 1
severely 1
she 12
shell 1
should 1
showing 1
sidekicks 2
sit 2
sits 1
sixth 1
smart 1
smarts 1
snobby 1
so 5
social 2
some 1
someone 1
special 1
spent 1
spilled 1
spot 1
stay 1
still 2
story 1
strike 1
students 1
stupid 1
summer 2
swear 1
switch 5
switched 1
switching 2
sydney 12
take 1
taken 1
teachers 2
tell 1
tells 2
tess 2
that 10
the 33
their 8
them 5
then 6
they 18
think 1
this 1
those 1
though 3
thrilled 1
to 27
together 1
too 1
tradition 1
treated 1
true 1
trust 1
turns 1
twin 1
twins 9
two 2
unbeknowest 1
unisex 1
unlike 1
up 4
upset 1
usual 2
very 4
videocast 3
vogs 2
volunteers 1
walking 2
wants 1
was 1
wealthy 1
wears 1
when 3
where 2
which 2
while 2
who 3
whole 1
whom 1
will 6
wimp 1
with 15
wonderful 1
wont 3
working 1
worried 1
yelled 1
you 1
