5804456
/m/0f5v4l
/m/0f5v4l
Matt Ruff
1988
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
a 8
about 1
an 1
and 5
appears 1
army 1
as 4
aurora 1
author 1
authors 2
authorship 1
battle 1
becoming 1
between 1
blackjack 1
bohemians 1
borealis 1
called 1
calliope 1
campus 1
cat 1
characters 1
cornell 3
create 1
decides 1
dog 1
dragon 1
drama 2
efforts 1
either 1
ending 1
evil 2
falls 1
fight 1
finds 1
firebreathing 1
forces 1
george 3
god 2
good 1
greek 1
grub 1
happy 1
his 2
in 2
instead 1
is 2
known 1
life 2
like 2
love 1
luther 1
main 1
mannequin 1
mr 3
named 2
novel 1
of 9
on 2
or 1
outcome 1
paper 2
plot 1
prefers 1
puck 1
ragnarok 1
rasferret 1
rats 1
real 2
resident 1
retired 1
rich 1
rubbermaid 1
secondary 1
set 1
smith 1
stage 1
stephen 3
story 3
student 1
sunshine 3
telling 1
that 1
the 14
then 1
titus 3
to 3
towards 1
tragic 1
two 2
unfolds 1
university 1
well 1
whom 1
with 2
work 1
works 1
write 1
