8570979
/m/0278bh9
/m/0278bh9
Samuel Beckett
1957

a 28
aberrant 1
able 1
about 2
acknowledges 1
actions 1
actually 1
after 1
against 2
all 1
already 1
although 1
an 1
and 19
animals 1
another 1
any 2
anything 1
anywhere 1
appears 2
appreciate 1
arbitrarily 1
are 4
around 1
as 8
aside 1
assuming 1
assumption 1
at 8
attack 1
attributed 1
avoiding 1
aware 1
away 1
awful 1
back 2
bad 1
balfe 1
based 1
be 5
beating 2
became 1
because 1
beckett 1
becomes 1
been 3
begins 3
behaviour 3
being 1
best 1
birds 1
bit 1
boasts 1
bothered 1
brother 1
brought 1
bursts 1
but 5
by 1
calculated 1
came 1
can 1
cannot 1
catch 1
certainly 1
child 3
chronologically 1
cites 1
classical 1
clearly 2
close 1
closer 1
coherently 1
collapses 1
collective 1
college 1
colour 1
common 1
communicate 1
condition 1
conditioning 1
constant 1
contiguous 1
cope 1
could 1
creatures 1
cursing 1
daily 1
day 3
days 4
deal 1
death 1
described 1
describes 1
despite 4
details 1
developed 1
did 1
died 1
difficult 1
digressions 1
directionlessness 1
disappointed 1
discovered 1
dispute 1
distance 2
distilled 1
disturbed 1
does 1
doesnt 1
done 1
dreamt 1
due 1
earache 1
early 5
eccentric 1
effect 1
effectively 1
end 1
energy 1
erupts 1
even 1
events 1
exacerbate 1
excellent 1
excuse 1
exercising 1
eye 1
fact 1
facts 1
fad 1
fair 1
family 3
far 1
father 1
fauna 1
feeling 1
feels 1
ferns 1
few 1
fidgeting 1
final 1
find 1
finish 1
finished 1
first 1
fit 1
five 1
flies 1
flora 1
following 2
for 9
forth 1
framework 1
from 4
general 1
gets 1
given 1
glad 1
go 1
godot 1
going 1
good 2
great 1
had 4
hard 1
has 10
have 4
having 3
he 50
head 4
heads 1
health 1
hell 1
her 4
hes 1
him 6
himself 3
his 21
home 1
horse 1
hostility 1
house 2
i 1
if 3
imaginary 1
in 15
individual 1
inheritance 1
instance 1
into 2
is 18
isnt 1
it 7
join 1
killed 1
killing 1
kind 1
knowledge 1
lashing 1
latest 1
learn 1
least 2
leaves 2
let 1
life 4
line 1
little 3
local 1
long 1
look 2
lot 1
love 2
mad 1
maintains 1
makes 1
man 7
mans 1
married 1
may 2
meant 1
mentions 1
merely 1
might 1
mild 1
milton 1
modelled 1
money 1
more 1
morning 1
mother 1
mothers 1
my 2
name 1
named 1
narrative 1
neither 1
neurotic 1
never 4
night 1
nightfall 1
no 1
none 1
not 6
noteworthy 1
notices 1
notion 1
noun 1
now 2
obsessive 1
of 21
off 2
old 4
on 8
once 1
one 1
only 1
or 8
other 2
out 2
over 1
own 2
pack 1
paradise 1
parents 3
particularly 1
past 1
pent 1
people 1
per 1
perambulations 1
perhaps 3
person 2
picked 1
point 1
poor 1
probably 3
prone 1
propensity 2
psychosomatic 1
pursued 1
puts 2
rage 1
rages 1
rather 3
really 2
reason 1
recollections 1
reduce 1
refers 2
regards 1
regrets 1
relationship 1
remember 1
remembering 1
return 1
revolves 1
rises 1
road 1
round 1
running 1
says 1
se 1
second 2
see 1
selfharm 1
set 1
she 2
short 1
sight 1
significance 1
significantly 1
simply 3
slug 1
small 1
snail 1
so 3
some 2
something 1
somewhat 1
sons 1
sore 1
specifically 1
spoken 1
squash 1
starts 1
stick 1
still 3
stoats 1
story 1
strange 1
strong 1
such 1
sudden 1
suffers 1
survives 1
suspects 1
talks 1
tall 1
tell 1
ten 1
tend 1
terrain 1
terrified 1
than 3
that 15
the 35
them 4
then 2
these 2
things 2
third 2
this 2
thought 1
thoughts 1
three 1
throat 2
to 19
toward 1
towards 2
travelled 1
tribe 1
tried 1
trinity 1
troubles 1
trying 1
twenties 1
two 1
unclear 1
unlikely 1
until 1
unwell 1
up 2
using 1
vanishing 1
very 1
view 1
violence 2
violent 1
waiting 1
walking 1
walks 1
was 1
waving 1
way 2
we 1
well 1
when 2
where 2
whether 1
which 2
whilst 1
white 2
who 1
whom 1
will 1
window 1
with 8
woman 1
wonders 1
worker 1
works 1
worm 1
would 2
wouldnt 1
yards 1
years 2
yet 1
young 3
