4021390
/m/0bcyk6
/m/0bcyk6
Jacqueline Carey
2006-06-12
a 41
about 1
acquires 1
acquits 1
active 1
actually 1
affair 2
affectionately 1
after 5
age 1
agent 1
alais 4
alba 2
all 5
almost 1
also 7
an 3
anafiel 1
and 69
angry 1
anguissette 1
animal 1
another 1
any 1
apartment 1
apparent 2
appears 1
approaches 1
are 3
arms 1
around 1
arts 2
as 14
asclepius 5
asheratofthesea 1
asked 1
asks 4
assailant 1
assessment 1
at 18
attackers 1
attempt 2
attempts 1
attendance 1
attraction 1
awakens 1
badly 1
balm 1
baptitse 1
battered 1
battle 2
be 8
beautiful 1
because 2
become 2
becomes 3
been 3
before 2
beginning 1
begins 2
behalf 2
beloved 1
bernadette 4
between 5
birthday 1
bitter 1
bizarrely 1
blackmail 1
blood 1
boar 3
body 1
bone 1
book 1
both 1
boy 1
braid 1
breaks 1
breath 1
bride 1
bridetobe 1
brigitta 1
bringing 1
broken 2
building 1
bushes 2
but 10
by 12
caccini 1
can 5
canis 9
cannot 1
carrying 1
causes 1
celebration 1
chance 1
change 2
changes 1
charges 1
child 1
children 2
citizens 1
civil 1
claims 1
claudia 5
close 1
cold 1
coldness 1
come 5
comes 3
comfort 1
command 1
company 1
conduct 1
confides 1
confirm 1
confused 1
containing 1
control 1
convinced 1
cordial 1
could 4
couple 1
courcel 2
court 2
cousins 1
covert 1
covertcy 2
coveting 1
cruarch 1
crush 2
cut 1
cuts 1
cutting 1
cynics 2
da 1
daiglemort 3
dange 3
dangeline 1
daranga 1
daughter 1
dauphine 1
days 1
de 4
deccus 1
decide 1
decides 5
declares 1
deer 3
delaunay 3
departing 1
desire 1
desires 2
died 1
dies 1
disaster 1
discover 1
discovers 1
dislike 2
dislikes 1
dismouts 1
distance 1
dives 1
do 2
does 2
doesnt 1
dog 2
dogs 1
done 1
dorelei 4
dream 1
dreams 1
drink 1
drustan 2
during 6
duty 1
dying 2
each 1
eamonn 7
eighteen 1
emerges 1
ends 1
engage 1
enough 2
ensues 1
ensuring 1
escorted 1
estate 1
even 1
event 1
ever 1
evident 1
exceptionally 1
exchange 1
exertion 1
experience 1
extremely 2
face 1
faces 1
fact 2
factors 1
families 1
family 1
feared 1
fears 1
feel 2
fellow 2
fester 1
feud 1
fight 1
fighting 1
final 2
finally 3
find 2
finds 1
first 1
follow 1
following 2
follows 1
footsteps 1
for 7
forbidden 1
forces 1
foreign 1
foster 4
found 1
fourteen 1
fragment 1
friendly 1
friends 2
from 5
front 1
fulvia 1
fulvis 1
funding 1
future 1
gallus 2
get 5
gets 1
ghost 1
gilot 10
give 2
given 5
gives 2
go 2
goes 1
going 1
good 1
grainne 2
grandfather 1
great 1
grounds 1
grown 1
guard 1
guide 1
guild 6
guilt 1
had 6
hair 1
hand 3
happy 2
has 8
have 3
he 41
heady 1
heal 2
health 1
hears 1
hedges 1
heir 2
helena 1
help 1
helps 1
her 13
here 1
him 25
himself 6
hired 1
his 42
history 1
hit 1
holdings 2
home 3
homeless 1
horrors 1
horse 2
host 1
house 3
household 1
how 1
however 2
humours 1
hunting 2
hurt 1
husband 1
if 6
illegitimate 1
imri 2
imriel 65
in 21
indicating 1
influence 1
information 2
inherit 1
inherited 1
inside 1
insists 1
instantly 1
instead 2
intense 1
interest 1
into 3
investigates 1
invites 1
is 33
isidore 2
isle 1
it 12
job 1
join 1
jokes 1
joscelin 1
journeyman 1
jumping 1
just 2
kidnapped 1
kill 1
killed 2
kin 2
kinky 1
know 3
knowledge 1
known 2
kusheline 1
la 3
lamp 1
lands 1
lasts 1
later 1
laughter 1
leader 2
leads 1
learn 1
learning 3
learns 4
least 1
leave 2
leaves 3
let 1
letter 1
letters 1
lies 1
life 6
light 1
lightly 1
like 1
lives 1
local 1
lombelon 3
long 1
longer 1
longheld 1
look 1
loss 1
lost 2
love 2
loved 1
lover 1
loves 1
loyalty 2
lucca 8
lucius 4
lung 1
mab 1
mac 1
made 1
make 1
makes 2
man 4
manage 1
manages 1
many 2
marry 1
maslin 10
master 1
matrilineal 1
mavros 3
may 2
meanwhile 1
meets 2
melisande 3
member 1
mentor 1
mercenary 1
might 1
mission 1
months 1
montreve 2
montrve 2
more 3
most 2
mother 7
moves 1
much 3
must 3
n 2
name 1
nearest 1
necessary 1
necklace 2
necthana 1
needs 1
negative 1
negotiating 1
nephew 1
never 2
night 3
no 3
nobles 1
noncombatants 1
none 1
not 11
novel 1
of 51
off 3
older 1
on 12
one 3
only 2
or 2
other 3
otherwise 1
out 3
over 1
own 1
packing 1
paperwork 1
parents 2
party 1
pay 1
personal 1
phdre 4
philosopher 2
philosophy 1
physical 1
piero 1
place 1
play 2
pleasures 1
possessed 1
power 1
price 1
priest 1
priests 1
prince 4
princess 1
process 1
promise 1
promising 1
proof 1
protect 1
protected 1
protector 2
puncture 1
queen 1
quest 1
quintilus 1
reaches 1
reaching 1
reads 1
realizes 1
really 2
realm 1
rears 1
recent 1
red 1
refused 1
refuses 2
relationship 1
relationships 1
releases 1
remain 1
replaced 1
replies 1
rescue 1
residence 1
returning 1
returns 1
reveals 2
revelation 2
ribs 1
right 3
riot 1
riots 1
risking 1
rolande 1
roshana 1
rousse 1
royal 2
ruggero 1
rule 1
run 1
rustling 1
safely 1
same 2
save 1
saves 1
saving 1
saviour 1
say 1
school 1
scourge 1
secret 1
seduces 1
seek 1
seems 1
seen 1
