39628
/m/09wdl
/m/09wdl
William Shakespeare

a 29
about 1
acknowledging 1
adopts 1
adultery 1
affair 1
affection 1
affronted 1
after 4
against 1
aggressively 1
ago 1
alive 1
all 5
alleviate 1
along 1
also 6
ambassador 1
an 3
and 57
anguished 1
appear 2
appears 1
are 4
army 1
around 1
arrives 2
arrogant 1
arviragus 4
as 11
asleep 2
assertion 1
at 11
attempts 1
augustus 3
avenge 1
awakens 1
awakes 1
away 1
back 2
badly 1
banished 1
banishes 1
battle 3
battlefield 1
be 2
beautiful 1
beauty 3
becomes 1
bedchamber 1
before 5
behind 1
belarius 6
believes 1
believing 2
beside 1
bet 2
between 2
bewail 1
birth 1
body 5
both 4
boy 4
bracelet 2
brief 1
bring 2
britain 5
british 3
britons 1
brothers 2
but 8
by 5
cadwal 1
caesar 1
caius 1
calls 1
can 1
captivated 1
carry 1
cause 1
cave 4
chains 1
challenges 1
chambers 1
chastity 1
chest 2
chide 1
child 1
cloddish 1
cloten 10
clothes 2
clothing 1
coast 1
come 1
comes 1
complain 1
condemned 1
confessed 1
confused 1
consent 1
conspiracies 1
conspiring 2
continue 1
convinces 1
cornelius 4
corpse 2
corroborate 1
could 2
court 6
courtier 1
currently 1
cuts 1
cymbeline 15
daughter 1
dead 2
deadly 1
death 3
deathbed 1
decides 1
deciphers 1
demand 1
demands 1
depart 2
described 1
description 1
desiring 1
destiny 1
determine 1
determines 1
did 2
die 1
died 3
disappearance 1
discovered 1
disguise 2
disguisesturn 1
distemper 1
do 1
doctor 1
down 1
dragging 1
dreamed 1
dresses 1
dressing 1
drug 1
due 1
duel 1
eagle 1
earlier 1
earns 1
eat 1
ecstatic 1
elated 1
emerges 1
employment 1
end 1
ensured 1
enter 2
entreaties 1
events 1
everyone 1
examines 1
exceeding 1
exchanging 1
executed 1
execution 1
explain 1
explaining 1
face 1
fact 1
faith 1
faithful 2
falls 2
falsely 1
familiar 1
fate 2
father 2
favour 1
feast 1
feeling 1
fidele 9
fight 2
find 3
finding 1
finds 1
finger 2
first 1
flees 2
food 1
for 12
forces 1
forth 2
forward 2
four 1
free 1
friend 1
from 9
further 1
gesture 1
get 1
ghosts 3
gives 2
glory 1
go 1
god 2
goes 1
got 1
grant 2
great 2
grim 1
guiderius 5
guilt 1
guiltridden 1
had 1
happiness 2
has 9
have 3
haven 6
he 18
head 1
headless 1
heads 1
heartiness 1
heir 1
help 1
her 22
herself 3
hides 1
him 12
himself 5
his 20
home 1
honour 1
hoping 2
house 1
how 4
however 1
hunger 1
husband 1
iachimo 11
iachimogiacomo 1
identities 1
identity 1
if 2
ill 1
imbiber 1
imogen 31
impression 1
in 18
incensed 1
inevitable 1
infants 1
influence 1
inheritance 1
innocence 1
innogen 1
inside 1
insisting 1
insists 1
instead 1
insults 1
into 4
invites 1
is 12
it 2
italian 1
italy 2
its 1
jailed 1
jailer 1
jewel 1
jewellery 1
journey 1
jupiter 3
kill 1
kills 1
king 3
kingship 1
knocks 1
know 2
lack 1
learns 1
leave 1
leaving 1
left 1
length 1
leonatus 2
letter 1
letters 1
life 1
line 1
long 1
looks 1
love 1
lucius 5
luckily 1
makes 1
malice 1
man 1
marriage 2
married 2
marry 2
martial 1
may 1
mean 1
meaning 2
meanwhile 4
meet 1
meeting 1
meets 1
men 5
menbelarius 1
merit 1
message 1
met 1
milford 5
mimic 1
mother 1
motion 1
mountains 1
murder 2
murderous 1
must 1
naked 1
name 1
nausea 1
nevertheless 1
news 1
nonfatal 1
not 4
noticed 1
noting 1
now 1
obscure 1
of 23
off 1
on 14
one 1
only 3
or 1
ordering 1
origin 1
other 1
out 1
outside 1
over 1
packing 1
page 1
paramour 1
pardons 1
passion 1
pauses 1
pay 2
paying 1
peace 1
penitent 1
personal 1
philariofilario 1
philharmonus 1
pisanio 4
place 1
placing 1
plot 1
plotting 1
poison 6
polydore 1
poor 1
possessed 1
possessing 1
posthumus 33
prepares 1
presumption 1
princess 2
prisoners 3
procured 1
produces 1
proof 2
prophecy 2
pushes 1
put 1
queen 7
raised 2
rallying 1
ranks 1
rape 1
receives 1
recent 1
recognizing 1
refusal 1
relieved 1
resisting 1
resolves 1
restored 1
returning 1
revealing 2
reveals 2
reviving 1
ring 3
roman 4
romans 2
rome 1
room 1
rout 1
royal 1
rushes 1
secludes 1
secretly 1
secure 1
seduce 3
seduced 1
seek 1
sees 1
sends 2
sense 1
sentence 1
servant 2
she 8
shows 1
sicilius 1
sickness 1
skill 1
sleeping 1
so 3
soldier 2
solemnly 1
somehow 1
son 1
sons 2
soothsayer 1
soughtfor 1
spare 1
speaks 1
spirits 1
stands 1
steal 1
still 3
stolen 1
stopped 1
story 1
stumbles 1
successfully 1
summons 1
supposedly 1
suspects 1
switches 1
sword 1
swore 1
tablet 3
takes 5
telling 1
tells 1
that 14
the 69
their 5
them 2
themselves 1
then 6
these 1
they 5
thinking 1
this 2
those 1
three 1
throne 1
throws 1
thunder 1
tide 1
to 57
tokens 1
traitor 1
tribute 3
tricked 1
tries 1
troops 1
troubled 1
twenty 1
two 3
under 2
unfolding 1
unknown 1
unrepentantly 1
up 2
upon 2
values 1
vassal 1
wales 2
warns 1
was 1
waxes 1
way 2
weak 1
welsh 1
were 1
west 1
what 2
when 3
where 5
which 3
while 2
who 10
whom 1
wife 1
will 6
win 1
wins 2
with 9
wonders 1
woodsmen 1
worked 1
worries 1
worst 1
wrath 3
wrong 1
years 1
yet 1
young 2
