20277439
/m/04_057y
/m/04_057y
Roberto Bolaño
1996
a 2
about 4
advances 1
all 1
allen 1
although 1
america 2
americas 3
an 3
and 5
are 3
as 1
author 1
authors 1
be 1
biographies 2
bolao 2
book 2
borges 1
but 2
can 1
carefully 1
characters 1
city 1
composed 1
criminals 1
cuba 1
despicable 1
encounter 1
encyclopedia 1
examination 1
few 1
fictional 1
focus 1
forerunners 1
from 2
gallery 1
general 1
ginsbergs 1
greenwich 1
herbert 1
heroic 1
im 3
imaginary 1
in 12
interviewer 1
invented 1
is 2
its 1
itself 1
jorge 1
jos 1
left 1
lezama 1
lima 1
literary 2
literature 3
luis 1
mediocrities 1
menard 1
mexico 1
more 1
most 1
much 2
narcissists 1
nazi 3
nazisfascists 1
north 1
octavio 1
of 12
often 1
on 1
opportunists 1
panamerican 1
particularly 1
paz 1
pierre 1
portrayed 1
presents 1
quain 1
quarrel 1
quixote 1
real 1
reality 2
rebuff 1
right 1
rightwing 1
seen 1
selfdeluded 1
short 2
situated 1
snobs 1
sometimes 1
south 1
stories 1
sympathizers 1
talking 3
that 1
the 14
they 1
this 1
time 1
to 1
told 1
type 1
ultra 1
ultraright 1
village 1
when 1
with 1
work 1
world 2
worlds 1
writer 1
writers 3
zealots 1
