6973365
/m/0gzf2n
/m/0gzf2n
Hugo Claus
1983
{"/m/05hgj": "Novel"}
13 1
a 5
actually 1
and 5
apostles 1
april 1
are 1
attends 1
author 1
aware 1
baby 1
becomes 3
being 1
belgium 2
boarding 1
books 2
buys 1
by 1
call 1
comes 1
discovers 1
doll 1
down 1
during 1
education 1
eleven 1
ends 1
entartete 1
family 3
fantasy 1
father 2
fell 1
first 1
flemish 1
forbidden 2
four 1
friends 1
german 1
germans 1
germany 1
goes 1
gradually 1
has 1
he 4
him 1
his 7
hitlerjugend 2
in 6
interested 1
is 2
kortrijk 1
kunst 1
later 1
led 1
lot 1
louis 5
means 1
mecklenburg 1
meetings 1
members 1
months 1
more 1
mother 1
narrowmindedness 1
nationalists 1
novel 1
nuns 1
occupation 1
of 7
part 1
possess 1
pregnant 1
press 1
printing 1
school 1
second 1
seven 1
several 1
seynaeve 1
she 1
sorrow 1
stairs 1
stillborn 1
sympathises 1
tell 1
that 2
the 12
themselves 1
they 1
to 2
up 1
war 1
which 1
who 1
with 1
world 1
writer 1
