13512416
/m/03c7s7m
/m/03c7s7m
Peter Shaffer


10 1
a 27
about 4
accused 1
accusers 1
act 2
acting 2
action 2
actress 1
adorned 1
after 1
afternoon 1
again 3
against 2
age 2
agitated 1
agreement 1
all 1
alliance 1
alone 1
along 1
also 1
american 1
an 6
and 36
answers 1
apartment 2
apologizes 1
architectural 1
architecture 3
architrave 1
are 2
around 1
arrives 1
as 4
aspired 1
assertions 1
at 9
audience 2
audiences 1
aversion 1
averts 1
back 1
bargain 1
basement 2
be 2
become 3
becomes 2
before 1
begin 1
begins 2
behaving 1
behavior 1
behind 1
being 1
betrayal 1
big 1
blow 1
blowing 1
boats 1
bomb 1
bombs 1
bored 1
boring 1
both 1
building 1
buildings 2
but 2
by 10
called 1
can 1
cannot 1
career 1
case 1
cat 3
causing 1
celebratory 1
chafes 1
challenged 1
claiming 1
claims 1
clear 1
clearly 1
cloak 1
code 1
colorful 1
come 1
complaint 1
completely 1
confidence 1
consequently 1
continues 1
court 1
crime 1
crowd 2
cruelly 1
day 2
days 2
decide 1
defends 1
defense 1
defy 1
dejected 1
delineates 1
demands 1
despairs 1
destruction 1
detached 1
detachment 1
did 1
different 1
dinner 1
disagreeable 1
discovery 1
disgust 1
dismayed 1
dismisses 1
displays 1
divulges 1
do 1
douffet 2
dramatic 1
dreary 1
dress 1
dressed 1
drink 1
drinking 1
drops 1
dull 1
dumbfounded 1
during 1
earls 1
embellishing 1
embellishment 1
enacting 1
end 2
endeyesore 1
ends 1
england 2
english 1
enjoyment 1
enlarge 1
enlighten 1
enliven 1
enraptured 1
entertaining 1
even 2
every 1
excited 1
execution 2
executioner 1
executions 1
facts 1
false 1
famous 1
fanciful 1
fast 1
feels 1
felina 1
fellow 1
fifty 1
filled 2
find 1
fires 1
flair 1
flat 3
for 6
friends 1
from 1
furniture 1
fustian 4
fusty 1
games 1
gesture 1
get 1
gets 1
give 1
giving 2
grab 1
grand 1
grandiose 1
group 1
had 3
hall 5
hangs 1
has 4
have 2
he 1
head 1
hearing 1
heartfelt 1
her 41
herself 1
his 1
historical 2
history 3
home 2
house 5
how 1
if 1
improvising 1
in 17
inadvertently 1
indictment 1
inebriated 1
influence 1
inform 1
information 1
injured 2
insisting 1
insists 3
inspiration 1
insults 1
intended 1
interrupted 1
interviewed 1
into 1
invites 1
is 24
it 10
its 1
jolted 1
kind 1
knowledge 1
larger 2
later 4
lawyer 4
learn 2
leave 1
leaves 1
leaving 1
letter 1
letters 1
lettice 36
life 3
listens 1
lives 1
locations 1
london 4
long 1
lotte 23
lovage 1
love 1
lying 1
make 1
man 1
mary 4
mere 1
midst 1
miserable 1
miss 2
modern 3
monologue 2
months 1
more 3
mother 3
moved 1
much 2
must 3
name 1
negation 1
new 2
next 3
nightdress 1
not 3
notveryinteresting 1
now 2
obtain 1
of 33
off 1
office 2
old 1
on 6
once 2
one 2
only 2
oppose 1
out 6
outraged 1
owns 1
past 1
peculiarly 1
performance 1
personalitiesnotably 1
place 2
plan 1
plant 1
play 1
pointing 1
position 2
posters 1
preservation 2
primary 1
produces 1
production 1
prompted 1
prompting 1
propensity 1
props 1
queen 3
questions 2
raindrenched 1
ran 1
rather 1
really 1
recitations 1
reciting 2
red 2
reference 1
references 1
rehearsed 1
reinvent 1
relationship 1
relics 1
relies 1
report 1
requests 1
rest 3
reveal 1
reveals 3
reveries 1
reviewed 1
ridiculous 1
rudely 1
ruin 1
ruined 1
salacious 1
salivating 1
same 1
saying 1
says 4
scene 3
schoen 3
scots 2
secret 1
see 1
seen 1
series 1
set 1
several 1
she 24
shell 1
shifts 1
showing 1
shown 1
shows 1
sight 1
similarities 1
sits 1
six 1
sixteenthcentury 1
solidarity 1
some 1
speak 1
speech 1
spend 1
spoken 1
spot 1
staircase 1
startled 1
stating 1
stops 1
stories 1
storms 1
story 8
storyhow 1
stupor 1
successfully 1
suddenly 1
suggests 2
sympathy 1
synopsis 1
take 1
taken 1
takes 1
tale 2
talking 1
taught 1
technological 1
telling 4
tells 6
ten 1
terrorist 1
testify 1
thames 1
that 10
the 63
theatrical 3
theatricality 1
their 3
them 2
then 1
these 1
they 6
things 1
this 3
thoroughly 1
three 1
through 1
thrown 1
time 1
to 28
toasting 1
together 1
too 1
tourists 6
tours 2
trial 1
trials 1
tricked 1
trust 4
twentytwo 1
two 1
ugliest 1
unexpectedly 2
unpleasant 1
untrue 1
up 5
upon 1
using 1
version 1
very 2
walks 1
was 4
way 1
we 2
wearing 1
weeks 1
what 1
where 1
which 1
who 5
whole 1
whom 1
wig 3
wildly 1
will 1
wiltshire 1
wing 1
with 10
without 1
woman 1
women 1
wonders 1
word 1
wore 1
works 1
written 1
yet 2
